state_fips,state,year,construction_real_gdp,construction_real_gdp_unit,unit_multiplier,construction_real_gdp_growth_pct
12,Florida,2022,58886.6,millions_of_chained_2017_dollars,6,-5.956736642897642
12,Florida,2023,60251.7,millions_of_chained_2017_dollars,6,2.318184442640603
13,Georgia,2015,21649.9,millions_of_chained_2017_dollars,6,
13,Georgia,2016,24084.5,millions_of_chained_2017_dollars,6,11.245317530334997
13,Georgia,2017,25738.8,millions_of_chained_2017_dollars,6,6.8687330025535065
13,Georgia,2018,27464.8,millions_of_chained_2017_dollars,6,6.705829331592761
13,Georgia,2019,28610.5,millions_of_chained_2017_dollars,6,4.171521365529696
13,Georgia,2020,28903.2,millions_of_chained_2017_dollars,6,1.023050977787876
13,Georgia,2021,30326.8,millions_of_chained_2017_dollars,6,4.925406183398362
13,Georgia,2022,29154.2,millions_of_chained_2017_dollars,6,-3.866547080470073
13,Georgia,2023,29090.3,millions_of_chained_2017_dollars,6,-0.21917939782262197
15,Hawaii,2015,4976.3,millions_of_chained_2017_dollars,6,
15,Hawaii,2016,5428.9,millions_of_chained_2017_dollars,6,9.09511082531196
15,Hawaii,2017,5274.4,millions_of_chained_2017_dollars,6,-2.845880380924315
15,Hawaii,2018,5119.1,millions_of_chained_2017_dollars,6,-2.9444107386622065
15,Hawaii,2019,5195.4,millions_of_chained_2017_dollars,6,1.4904963763161305
15,Hawaii,2020,5063.8,millions_of_chained_2017_dollars,6,-2.5330099703583797
15,Hawaii,2021,4922.2,millions_of_chained_2017_dollars,6,-2.796318969943523
15,Hawaii,2022,4314.2,millions_of_chained_2017_dollars,6,-12.352200235666977
15,Hawaii,2023,4343.3,millions_of_chained_2017_dollars,6,0.6745167122525597
16,Idaho,2015,3581.2,millions_of_chained_2017_dollars,6,
16,Idaho,2016,3703.6,millions_of_chained_2017_dollars,6,3.417848765776843
16,Idaho,2017,3842.9,millions_of_chained_2017_dollars,6,3.7612053137487944
16,Idaho,2018,3958.6,millions_of_chained_2017_dollars,6,3.010747092039856
16,Idaho,2019,4312.1,millions_of_chained_2017_dollars,6,8.929924720860916
16,Idaho,2020,4664.9,millions_of_chained_2017_dollars,6,8.181628440898848
16,Idaho,2021,5308.3,millions_of_chained_2017_dollars,6,13.7923642521812
16,Idaho,2022,5261.6,millions_of_chained_2017_dollars,6,-0.8797543469660662
16,Idaho,2023,5223.8,millions_of_chained_2017_dollars,6,-0.718412650144451
17,Illinois,2015,29831.4,millions_of_chained_2017_dollars,6,
17,Illinois,2016,30121.7,millions_of_chained_2017_dollars,6,0.973135689240201
17,Illinois,2017,30646.9,millions_of_chained_2017_dollars,6,1.7435934890793092
17,Illinois,2018,29497.9,millions_of_chained_2017_dollars,6,-3.7491557057973246
17,Illinois,2019,29319.2,millions_of_chained_2017_dollars,6,-0.6058058370256858
17,Illinois,2020,27997.6,millions_of_chained_2017_dollars,6,-4.507626401811793
17,Illinois,2021,29006.1,millions_of_chained_2017_dollars,6,3.602094465239869
17,Illinois,2022,26456.9,millions_of_chained_2017_dollars,6,-8.78849621286556
17,Illinois,2023,26310.8,millions_of_chained_2017_dollars,6,-0.5522188918580917
18,Indiana,2015,13787,millions_of_chained_2017_dollars,6,
18,Indiana,2016,14586,millions_of_chained_2017_dollars,6,5.795314426633791
18,Indiana,2017,15743.6,millions_of_chained_2017_dollars,6,7.936377348142054
18,Indiana,2018,16173.2,millions_of_chained_2017_dollars,6,2.728727864020941
18,Indiana,2019,16641.4,millions_of_chained_2017_dollars,6,2.894912571414454
18,Indiana,2020,16747.7,millions_of_chained_2017_dollars,6,0.6387683728532378
18,Indiana,2021,17310.2,millions_of_chained_2017_dollars,6,3.3586701457513524
18,Indiana,2022,16358.4,millions_of_chained_2017_dollars,6,-5.498492218460793
18,Indiana,2023,16666.3,millions_of_chained_2017_dollars,6,1.8822134194053097
19,Iowa,2015,8434.3,millions_of_chained_2017_dollars,6,
19,Iowa,2016,9029.5,millions_of_chained_2017_dollars,6,7.056898616364138
19,Iowa,2017,8400,millions_of_chained_2017_dollars,6,-6.971593111467966
19,Iowa,2018,8433.1,millions_of_chained_2017_dollars,6,0.39404761904762164
19,Iowa,2019,8374.6,millions_of_chained_2017_dollars,6,-0.693695082472634
19,Iowa,2020,8332.2,millions_of_chained_2017_dollars,6,-0.5062928378668841
19,Iowa,2021,8275.1,millions_of_chained_2017_dollars,6,-0.6852931998751921
19,Iowa,2022,7749.8,millions_of_chained_2017_dollars,6,-6.347959541274428
19,Iowa,2023,7702,millions_of_chained_2017_dollars,6,-0.6167901107125395
20,Kansas,2015,6301.6,millions_of_chained_2017_dollars,6,
20,Kansas,2016,6432.6,millions_of_chained_2017_dollars,6,2.0788371207312473
20,Kansas,2017,6434.5,millions_of_chained_2017_dollars,6,0.029537045673588835
20,Kansas,2018,6589.1,millions_of_chained_2017_dollars,6,2.4026730903722093
20,Kansas,2019,6752.8,millions_of_chained_2017_dollars,6,2.484406064561173
20,Kansas,2020,6743.2,millions_of_chained_2017_dollars,6,-0.14216325079967618
20,Kansas,2021,6729.9,millions_of_chained_2017_dollars,6,-0.19723573377624648
20,Kansas,2022,6103.6,millions_of_chained_2017_dollars,6,-9.306230404612247
20,Kansas,2023,6262.2,millions_of_chained_2017_dollars,6,2.598466478799377
21,Kentucky,2015,7868.3,millions_of_chained_2017_dollars,6,
21,Kentucky,2016,7771.5,millions_of_chained_2017_dollars,6,-1.2302530406822387
21,Kentucky,2017,7813.5,millions_of_chained_2017_dollars,6,0.540436209226014
21,Kentucky,2018,7774.3,millions_of_chained_2017_dollars,6,-0.5016957829397817
21,Kentucky,2019,8036,millions_of_chained_2017_dollars,6,3.36621946670439
21,Kentucky,2020,7932.5,millions_of_chained_2017_dollars,6,-1.2879542060726723
21,Kentucky,2021,7908.3,millions_of_chained_2017_dollars,6,-0.30507406240151136
21,Kentucky,2022,7570.8,millions_of_chained_2017_dollars,6,-4.267668146124959
21,Kentucky,2023,7795.9,millions_of_chained_2017_dollars,6,2.973265705077388
22,Louisiana,2015,14504.3,millions_of_chained_2017_dollars,6,
22,Louisiana,2016,14998.7,millions_of_chained_2017_dollars,6,3.4086443330598515
22,Louisiana,2017,16168.8,millions_of_chained_2017_dollars,6,7.8013427830411874
22,Louisiana,2018,16445.6,millions_of_chained_2017_dollars,6,1.7119390430953452
22,Louisiana,2019,15022.8,millions_of_chained_2017_dollars,6,-8.651554215109202
22,Louisiana,2020,13284,millions_of_chained_2017_dollars,6,-11.574406901509704
22,Louisiana,2021,13820,millions_of_chained_2017_dollars,6,4.034929238181273
22,Louisiana,2022,12253.1,millions_of_chained_2017_dollars,6,-11.337916063675834
22,Louisiana,2023,12517.2,millions_of_chained_2017_dollars,6,2.1553729260350485
23,Maine,2015,2170.9,millions_of_chained_2017_dollars,6,
23,Maine,2016,2173.4,millions_of_chained_2017_dollars,6,0.11515961122114948
23,Maine,2017,2208.6,millions_of_chained_2017_dollars,6,1.6195822214042366
23,Maine,2018,2256.1,millions_of_chained_2017_dollars,6,2.1506836910259786
23,Maine,2019,2284.5,millions_of_chained_2017_dollars,6,1.2588094499357272
23,Maine,2020,2291.7,millions_of_chained_2017_dollars,6,0.31516743269861536
23,Maine,2021,2402.8,millions_of_chained_2017_dollars,6,4.847929484662061
23,Maine,2022,2242.1,millions_of_chained_2017_dollars,6,-6.688030630930597
23,Maine,2023,2297.6,millions_of_chained_2017_dollars,6,2.4753579233754097
24,Maryland,2015,20262.6,millions_of_chained_2017_dollars,6,
24,Maryland,2016,22535.7,millions_of_chained_2017_dollars,6,11.218204968760181
24,Maryland,2017,24317.1,millions_of_chained_2017_dollars,6,7.904791064843764
24,Maryland,2018,24008.9,millions_of_chained_2017_dollars,6,-1.2674208684423593
24,Maryland,2019,23976,millions_of_chained_2017_dollars,6,-0.1370325171082487
24,Maryland,2020,23421.7,millions_of_chained_2017_dollars,6,-2.311895228561889
24,Maryland,2021,23262.7,millions_of_chained_2017_dollars,6,-0.67885764056409
24,Maryland,2022,21459.3,millions_of_chained_2017_dollars,6,-7.752324536704691
24,Maryland,2023,20864.7,millions_of_chained_2017_dollars,6,-2.770826634605972
25,Massachusetts,2015,18845.6,millions_of_chained_2017_dollars,6,
25,Massachusetts,2016,19845.7,millions_of_chained_2017_dollars,6,5.30680901642826
25,Massachusetts,2017,20871,millions_of_chained_2017_dollars,6,5.166358455484055
25,Massachusetts,2018,21578.9,millions_of_chained_2017_dollars,6,3.3917876479325537
25,Massachusetts,2019,22127.1,millions_of_chained_2017_dollars,6,2.540444600975933
25,Massachusetts,2020,20983.7,millions_of_chained_2017_dollars,6,-5.167419137618568
25,Massachusetts,2021,21832,millions_of_chained_2017_dollars,6,4.042661685022186
25,Massachusetts,2022,20032.8,millions_of_chained_2017_dollars,6,-8.241113961157943
25,Massachusetts,2023,19434.3,millions_of_chained_2017_dollars,6,-2.987600335449858
26,Michigan,2015,17600,millions_of_chained_2017_dollars,6,
26,Michigan,2016,18142.1,millions_of_chained_2017_dollars,6,3.080113636363624
26,Michigan,2017,18720,millions_of_chained_2017_dollars,6,3.185408524922706
26,Michigan,2018,19043.8,millions_of_chained_2017_dollars,6,1.7297008547008552
26,Michigan,2019,18405.4,millions_of_chained_2017_dollars,6,-3.3522721305621617
26,Michigan,2020,17733.6,millions_of_chained_2017_dollars,6,-3.6500157562454616
26,Michigan,2021,18651.8,millions_of_chained_2017_dollars,6,5.177741688094928
26,Michigan,2022,17837.4,millions_of_chained_2017_dollars,6,-4.366334616498124
26,Michigan,2023,18235.6,millions_of_chained_2017_dollars,6,2.232388128314655
27,Minnesota,2015,14856.8,millions_of_chained_2017_dollars,6,
27,Minnesota,2016,15526.4,millions_of_chained_2017_dollars,6,4.507027085240423
27,Minnesota,2017,16350.9,millions_of_chained_2017_dollars,6,5.310310181368516
27,Minnesota,2018,16449.8,millions_of_chained_2017_dollars,6,0.60485967133308
27,Minnesota,2019,17004.2,millions_of_chained_2017_dollars,6,3.370253741686846
27,Minnesota,2020,16555,millions_of_chained_2017_dollars,6,-2.6417002858117433
27,Minnesota,2021,17518.6,millions_of_chained_2017_dollars,6,5.820598006644517
27,Minnesota,2022,15914.8,millions_of_chained_2017_dollars,6,-9.154841140273762
27,Minnesota,2023,16097.9,millions_of_chained_2017_dollars,6,1.1505014200618335
28,Mississippi,2015,4124.8,millions_of_chained_2017_dollars,6,
28,Mississippi,2016,3887.4,millions_of_chained_2017_dollars,6,-5.755430566330489
28,Mississippi,2017,3643.8,millions_of_chained_2017_dollars,6,-6.266399135669087
28,Mississippi,2018,3644.7,millions_of_chained_2017_dollars,6,0.024699489543866804
28,Mississippi,2019,3658.7,millions_of_chained_2017_dollars,6,0.38411940626115193
28,Mississippi,2020,3626.1,millions_of_chained_2017_dollars,6,-0.8910268674665822
28,Mississippi,2021,3805.2,millions_of_chained_2017_dollars,6,4.9391908662199
28,Mississippi,2022,3473.5,millions_of_chained_2017_dollars,6,-8.717018816356559
28,Mississippi,2023,3622.8,millions_of_chained_2017_dollars,6,4.298258240967323
29,Missouri,2015,11587.4,millions_of_chained_2017_dollars,6,
29,Missouri,2016,12615.5,millions_of_chained_2017_dollars,6,8.872568479555376
29,Missouri,2017,13523.8,millions_of_chained_2017_dollars,6,7.199873171891724
29,Missouri,2018,13440.7,millions_of_chained_2017_dollars,6,-0.6144722637128508
29,Missouri,2019,13752.3,millions_of_chained_2017_dollars,6,2.318331634513071
29,Missouri,2020,14091.9,millions_of_chained_2017_dollars,6,2.469405117689405
29,Missouri,2021,14664.8,millions_of_chained_2017_dollars,6,4.065456042123494
29,Missouri,2022,13531.7,millions_of_chained_2017_dollars,6,-7.726665211936057
