state_fips,state,year,real_gdp,personal_income
22,Louisiana,2022,240043,254415.5
22,Louisiana,2023,248949.4,270677.4
23,Maine,2015,60563,57356.5
23,Maine,2016,62037.1,59286.8
23,Maine,2017,63000.6,61740.1
23,Maine,2018,64806.3,64463.2
23,Maine,2019,66758.4,67852.8
23,Maine,2020,67639.2,74137
23,Maine,2021,71353.5,81887.1
23,Maine,2022,72884.4,85704.2
23,Maine,2023,75514,91602.3
24,Maryland,2015,378745.9,332956.2
24,Maryland,2016,391950.9,344195.1
24,Maryland,2017,399714.5,356079
24,Maryland,2018,402480.9,367831.3
24,Maryland,2019,402506.2,380447.2
24,Maryland,2020,389178.6,400750
24,Maryland,2021,407160.1,427803.2
24,Maryland,2022,412670.7,438306.4
24,Maryland,2023,420558,469239.6
25,Massachusetts,2015,514398.7,422547.6
25,Massachusetts,2016,521662.8,438598.5
25,Massachusetts,2017,530129.4,459778.7
25,Massachusetts,2018,549262.1,483954.4
25,Massachusetts,2019,566326.8,507884.7
25,Massachusetts,2020,560395.8,542032.6
25,Massachusetts,2021,597420,588651
25,Massachusetts,2022,607470.6,600009.6
25,Massachusetts,2023,614786.1,635619.8
26,Michigan,2015,490618.7,429284.9
26,Michigan,2016,500159.5,441557.2
26,Michigan,2017,505101.5,454894.8
26,Michigan,2018,516843,474208
26,Michigan,2019,521085.1,489569.6
26,Michigan,2020,502622.3,532019.9
26,Michigan,2021,528701.8,573255.7
26,Michigan,2022,539807.5,583072.1
26,Michigan,2023,554556.2,617163.2
27,Minnesota,2015,345456.2,282988
27,Minnesota,2016,350603.6,288866.6
27,Minnesota,2017,354721.9,301749
27,Minnesota,2018,364799.7,317564.8
27,Minnesota,2019,369617.4,329291.6
27,Minnesota,2020,357831.5,350470
27,Minnesota,2021,377975.8,387015.8
27,Minnesota,2022,385921.8,397877.4
27,Minnesota,2023,389864.5,418091
28,Mississippi,2015,109401.7,104772.2
28,Mississippi,2016,109911,106355.5
28,Mississippi,2017,110281.4,109132.8
28,Mississippi,2018,110174.8,111917.8
28,Mississippi,2019,111207.8,116213.5
28,Mississippi,2020,111195,125624.9
28,Mississippi,2021,116078.4,138640.2
28,Mississippi,2022,115700.3,138223.7
28,Mississippi,2023,119454.2,146160.9
29,Missouri,2015,308009.9,259350
29,Missouri,2016,308423.3,267048.6
29,Missouri,2017,311273.8,273774.2
29,Missouri,2018,314182.4,286084.3
29,Missouri,2019,321329.1,297492.6
29,Missouri,2020,316158.6,321316.7
29,Missouri,2021,331578,351191.9
29,Missouri,2022,337225.4,361652.1
29,Missouri,2023,346895.3,387601.3
30,Montana,2015,47765.6,44583.3
30,Montana,2016,47189.6,45283.3
30,Montana,2017,48470.5,48003.3
30,Montana,2018,49455,50352
30,Montana,2019,50263.5,53402.3
30,Montana,2020,50062.9,58241.5
30,Montana,2021,53345.9,65539.6
30,Montana,2022,55806.9,69666.5
30,Montana,2023,58604.9,74870.4
31,Nebraska,2015,119640.8,94681.7
31,Nebraska,2016,121303.1,93559.7
31,Nebraska,2017,123219.9,95823.7
31,Nebraska,2018,125543.4,100067.8
31,Nebraska,2019,127568.9,104615.9
31,Nebraska,2020,126711.2,111734.1
31,Nebraska,2021,135166.4,125057.8
31,Nebraska,2022,139878.1,130888.6
31,Nebraska,2023,147146.5,142166.5
32,Nevada,2015,151055.9,125088.6
32,Nevada,2016,156007.4,129879.1
32,Nevada,2017,163199.1,138847
32,Nevada,2018,168638.5,148408.1
32,Nevada,2019,176029.7,159393
32,Nevada,2020,165924.8,170447.5
32,Nevada,2021,182618.3,192132.9
32,Nevada,2022,194463.9,199226.6
32,Nevada,2023,201158.6,214392.7
33,New Hampshire,2015,79319.3,72779.6
33,New Hampshire,2016,80736.1,75229
33,New Hampshire,2017,81179.6,78661
33,New Hampshire,2018,82269.5,82353.7
33,New Hampshire,2019,84438.2,87724.1
33,New Hampshire,2020,83682.9,93153.8
33,New Hampshire,2021,90296.7,102663.3
33,New Hampshire,2022,91702.1,105210.8
33,New Hampshire,2023,93645.8,111148.6
34,New Jersey,2015,581414.9,530303.1
34,New Jersey,2016,587049.7,545301.7
34,New Jersey,2017,590086.7,566237.1
34,New Jersey,2018,606892.2,591910.4
34,New Jersey,2019,618691,625170.3
34,New Jersey,2020,598481.3,653214.2
34,New Jersey,2021,631158.3,707402.6
34,New Jersey,2022,648512.4,719848.2
34,New Jersey,2023,662320.1,765228.3
35,New Mexico,2015,93503.9,79130.8
35,New Mexico,2016,93043.5,80782.3
35,New Mexico,2017,93210.1,82354.1
35,New Mexico,2018,96077,86179.5
35,New Mexico,2019,100342.2,91208.9
35,New Mexico,2020,98004,98634.3
35,New Mexico,2021,101499.2,107674.3
35,New Mexico,2022,104212.8,112280.3
35,New Mexico,2023,114059.2,117634.3
36,New York,2015,1565835.2,1137082.3
36,New York,2016,1590567.8,1176654.7
36,New York,2017,1624800.7,1255776.7
36,New York,2018,1665186.8,1298669
36,New York,2019,1704364.3,1343851.2
36,New York,2020,1667234.8,1415644.9
36,New York,2021,1750551.2,1515619.3
36,New York,2022,1781554.1,1526280.6
36,New York,2023,1793384.5,1617130.9
37,North Carolina,2015,525229.1,414760.4
37,North Carolina,2016,536308.5,429054.9
37,North Carolina,2017,546810.1,449817.7
37,North Carolina,2018,556573.7,473093.3
37,North Carolina,2019,567975,501618.1
37,North Carolina,2020,564278.8,541462.5
37,North Carolina,2021,599293.8,604630.7
37,North Carolina,2022,620666.5,632926.5
37,North Carolina,2023,643045.8,677170.4
38,North Dakota,2015,58694.5,40408.2
38,North Dakota,2016,54756,39232
38,North Dakota,2017,56530.2,39743.7
38,North Dakota,2018,58516.4,42565.9
38,North Dakota,2019,59408.5,43997.2
38,North Dakota,2020,56602.8,47122.5
38,North Dakota,2021,57351.3,51468.4
38,North Dakota,2022,57031.1,55463.3
38,North Dakota,2023,62114.7,56452.5
39,Ohio,2015,633274.8,511339.8
39,Ohio,2016,638157.5,521622.5
39,Ohio,2017,652187.5,541289.4
39,Ohio,2018,656212,562523
39,Ohio,2019,674063.9,582299.9
39,Ohio,2020,655730.1,623575
39,Ohio,2021,691630,676718.3
39,Ohio,2022,694473.4,685892.1
39,Ohio,2023,707996.2,730013.2
40,Oklahoma,2015,193792.6,172726.3
40,Oklahoma,2016,190093.5,164709
40,Oklahoma,2017,192538.6,171995.4
40,Oklahoma,2018,196030.5,180824
40,Oklahoma,2019,200072.2,189996.8
40,Oklahoma,2020,191377,198234.3
40,Oklahoma,2021,194991.2,217902.1
40,Oklahoma,2022,194170.9,233182.3
40,Oklahoma,2023,207072.7,247300.5
41,Oregon,2015,205581.8,177478.1
41,Oregon,2016,214769.3,186105
41,Oregon,2017,225534.5,197262.3
41,Oregon,2018,234308.3,210044.9
41,Oregon,2019,239794.8,220029.4
41,Oregon,2020,236651.4,240450.4
41,Oregon,2021,250919.9,266544.6
41,Oregon,2022,254237.5,270427.9
41,Oregon,2023,258023.4,286979.9
42,Pennsylvania,2015,734145.1,635818
42,Pennsylvania,2016,744847.1,653328.9
42,Pennsylvania,2017,754318,671702.8
42,Pennsylvania,2018,763855.4,707043.4
42,Pennsylvania,2019,771852.5,729329.5
42,Pennsylvania,2020,738176.1,783389.5
42,Pennsylvania,2021,766140,833103.4
42,Pennsylvania,2022,776824.7,845037.9
42,Pennsylvania,2023,789918.5,885950
44,Rhode Island,2015,58387.9,51775.2
44,Rhode Island,2016,58630,52514.5
44,Rhode Island,2017,58771.6,54704.3
44,Rhode Island,2018,58740.1,56918.9
44,Rhode Island,2019,60157.6,60337
44,Rhode Island,2020,58132.3,64996.8
44,Rhode Island,2021,60660,69245.5
44,Rhode Island,2022,61517.3,70880.1
44,Rhode Island,2023,62119.3,74777.8
45,South Carolina,2015,213212.4,192054.7
45,South Carolina,2016,220559.3,200027.4
45,South Carolina,2017,224937.6,210387.6
45,South Carolina,2018,231663.3,219942.1
45,South Carolina,2019,239021.3,234295.4
45,South Carolina,2020,233294.4,250250.5
45,South Carolina,2021,245812,277322.6
45,South Carolina,2022,256608.5,288512.6
45,South Carolina,2023,266037.8,311235.5
46,South Dakota,2015,50860.8,41160.1
46,South Dakota,2016,51264.3,41551.5
46,South Dakota,2017,51615.1,42989.3
46,South Dakota,2018,51937.8,45144
46,South Dakota,2019,52510.2,48013.9
46,South Dakota,2020,53349.2,52908.8
46,South Dakota,2021,56015.4,60221
46,South Dakota,2022,55257.2,63454.7
46,South Dakota,2023,57253,68097
47,Tennessee,2015,335461.1,277356.1
47,Tennessee,2016,343544.9,286532.3
47,Tennessee,2017,355417.5,299307.7
47,Tennessee,2018,362363.7,316176.5
47,Tennessee,2019,370197.4,335601.7
47,Tennessee,2020,368057,360094.7
47,Tennessee,2021,401673.7,402024.7
47,Tennessee,2022,415451.6,417424.4
47,Tennessee,2023,428276.1,453765.7
48,Texas,2015,1634127.1,1281170.1
48,Texas,2016,1633863.3,1276330.6
48,Texas,2017,1667313,1367826
48,Texas,2018,1746543.3,1463789.8
48,Texas,2019,1806736.1,1537205.7
48,Texas,2020,1782738.2,1602962.6
48,Texas,2021,1905512.4,1786060.9
48,Texas,2022,1975164,1920254.6
48,Texas,2023,2137536.7,2074225.2
49,Utah,2015,155431.5,119661.5
49,Utah,2016,162528.2,126540.6
49,Utah,2017,172075,134546.7
49,Utah,2018,182106,144645.5
49,Utah,2019,192760.6,155711.5
49,Utah,2020,195323.2,169991.6
49,Utah,2021,211289.5,194799.1
49,Utah,2022,217848.8,206055.7
49,Utah,2023,226322.1,222237.8
50,Vermont,2015,32042.9,30598
50,Vermont,2016,32312.7,31073.3
50,Vermont,2017,32589.2,31960.2
50,Vermont,2018,32827.8,33117.1
50,Vermont,2019,33339.4,34838
50,Vermont,2020,32408.7,37392.8
50,Vermont,2021,33584.3,39552.8
50,Vermont,2022,34915.9,41336.5
50,Vermont,2023,35499.4,44058.6
51,Virginia,2015,498943.6,433088.2
51,Virginia,2016,505107.7,444691.4
51,Virginia,2017,515167.2,462372.2
51,Virginia,2018,527767.5,479766.6
51,Virginia,2019,541028,501770.8
51,Virginia,2020,535224.4,530771.6
51,Virginia,2021,565790.7,582077.9
51,Virginia,2022,579301.8,604039.5
51,Virginia,2023,599261,645405.9
53,Washington,2015,476715.4,376360.8
53,Washington,2016,495724.9,397270.6
53,Washington,2017,527169.4,423017.2
53,Washington,2018,561785.7,451609.2
53,Washington,2019,588794.4,484540.9
53,Washington,2020,587167.8,522862.2
53,Washington,2021,626122.2,572644.9
53,Washington,2022,643017.6,592733
53,Washington,2023,670977.8,637129.4
54,West Virginia,2015,74261.4,68437.8
54,West Virginia,2016,73513.3,68067.9
54,West Virginia,2017,75172.4,70797.6
54,West Virginia,2018,77406.5,74235
