year,state,state_fips,region,division,crushed_stone_tons,crushed_stone_total_value,crushed_stone_unit_value
2022,Idaho,16,West,Mountain,5570000,40600000,7.28
2023,Idaho,16,West,Mountain,5400000,40500000,7.5
2015,Illinois,17,Midwest,East North Central,54500000,570000000,10.46
2016,Illinois,17,Midwest,East North Central,50200000,531000000,10.56
2017,Illinois,17,Midwest,East North Central,49500000,517000000,10.450000000000001
2018,Illinois,17,Midwest,East North Central,48600000,506000000,10.42
2019,Illinois,17,Midwest,East North Central,49800000,529000000,10.62
2020,Illinois,17,Midwest,East North Central,53700000,636000000,11.84
2021,Illinois,17,Midwest,East North Central,51500000,602000000,11.7
2022,Illinois,17,Midwest,East North Central,50700000,649000000,12.8
2023,Illinois,17,Midwest,East North Central,54200000,764000000,14.1
2015,Indiana,18,Midwest,East North Central,49500000,384000000,7.76
2016,Indiana,18,Midwest,East North Central,47400000,390000000,8.239999999999998
2017,Indiana,18,Midwest,East North Central,49000000,426000000,8.700000000000001
2018,Indiana,18,Midwest,East North Central,50300000,461000000,9.17
2019,Indiana,18,Midwest,East North Central,51400000,484000000,9.42
2020,Indiana,18,Midwest,East North Central,52400000,526000000,10.050000000000002
2021,Indiana,18,Midwest,East North Central,52300000,570000000,10.9
2022,Indiana,18,Midwest,East North Central,55100000,620000000,11.25
2023,Indiana,18,Midwest,East North Central,55700000,713000000,12.8
2015,Iowa,19,Midwest,West North Central,36000000,380000000,10.56
2016,Iowa,19,Midwest,West North Central,38100000,408000000,10.7
2017,Iowa,19,Midwest,West North Central,38700000,433000000,11.18
2018,Iowa,19,Midwest,West North Central,39200000,442000000,11.29
2019,Iowa,19,Midwest,West North Central,41700000,379000000,9.11
2020,Iowa,19,Midwest,West North Central,39600000,374000000,9.44
2021,Iowa,19,Midwest,West North Central,35600000,334000000,9.38
2022,Iowa,19,Midwest,West North Central,34900000,361000000,10.34
2023,Iowa,19,Midwest,West North Central,33500000,361000000,10.78
2015,Kansas,20,Midwest,West North Central,17700000,162000000,9.18
2016,Kansas,20,Midwest,West North Central,16900000,144000000,8.52
2017,Kansas,20,Midwest,West North Central,16300000,139000000,8.530000000000001
2018,Kansas,20,Midwest,West North Central,15400000,131000000,8.49
2019,Kansas,20,Midwest,West North Central,15100000,126000000,8.370000000000003
2020,Kansas,20,Midwest,West North Central,17800000,145000000,8.129999999999999
2021,Kansas,20,Midwest,West North Central,19400000,158000000,8.16
2022,Kansas,20,Midwest,West North Central,19000000,171000000,9
2023,Kansas,20,Midwest,West North Central,18700000,178000000,9.530000000000001
2015,Kentucky,21,South,East South Central,55600000,509000000,9.139999999999999
2016,Kentucky,21,South,East South Central,50000000,454000000,9.08
2017,Kentucky,21,South,East South Central,50600000,471000000,9.3
2018,Kentucky,21,South,East South Central,49700000,470000000,9.47
2019,Kentucky,21,South,East South Central,52100000,535000000,10.27
2020,Kentucky,21,South,East South Central,50000000,544000000,10.88
2021,Kentucky,21,South,East South Central,51100000,585000000,11.450000000000001
2022,Kentucky,21,South,East South Central,53800000,672000000,12.47
2023,Kentucky,21,South,East South Central,55500000,778000000,14.03
2015,Louisiana,22,South,West South Central,,,
2016,Louisiana,22,South,West South Central,,,
2017,Louisiana,22,South,West South Central,,,
2018,Louisiana,22,South,West South Central,,,
2019,Louisiana,22,South,West South Central,,,
2020,Louisiana,22,South,West South Central,,,
2021,Louisiana,22,South,West South Central,,,
2022,Louisiana,22,South,West South Central,,,
2023,Louisiana,22,South,West South Central,,,
2015,Maine,23,Northeast,New England,4330000,34300000,7.930000000000001
2016,Maine,23,Northeast,New England,4210000,30200000,7.17
2017,Maine,23,Northeast,New England,4400000,34800000,7.92
2018,Maine,23,Northeast,New England,4040000,36700000,9.06
2019,Maine,23,Northeast,New England,4500000,41400000,9.19
2020,Maine,23,Northeast,New England,4690000,42900000,9.15
2021,Maine,23,Northeast,New England,4700000,43600000,9.290000000000001
2022,Maine,23,Northeast,New England,4480000,46600000,10.4
2023,Maine,23,Northeast,New England,4260000,50800000,11.93
2015,Maryland,24,South,South Atlantic,22700000,246000000,10.84
2016,Maryland,24,South,South Atlantic,22100000,258000000,11.66
2017,Maryland,24,South,South Atlantic,24300000,295000000,12.12
2018,Maryland,24,South,South Atlantic,22500000,275000000,12.19
2019,Maryland,24,South,South Atlantic,25700000,323000000,12.58
2020,Maryland,24,South,South Atlantic,24600000,321000000,13.04
2021,Maryland,24,South,South Atlantic,25700000,352000000,13.69
2022,Maryland,24,South,South Atlantic,24400000,348000000,14.26
2023,Maryland,24,South,South Atlantic,23800000,377000000,15.83
2015,Massachusetts,25,Northeast,New England,12100000,159000000,13.17
2016,Massachusetts,25,Northeast,New England,12600000,174000000,13.81
2017,Massachusetts,25,Northeast,New England,12900000,179000000,13.94
2018,Massachusetts,25,Northeast,New England,13900000,192000000,13.79
2019,Massachusetts,25,Northeast,New England,13400000,194000000,14.46
2020,Massachusetts,25,Northeast,New England,13000000,197000000,15.18
2021,Massachusetts,25,Northeast,New England,12400000,192000000,15.5
2022,Massachusetts,25,Northeast,New England,12800000,210000000,16.39
2023,Massachusetts,25,Northeast,New England,12300000,211000000,17.110000000000003
2015,Michigan,26,Midwest,East North Central,32500000,217000000,6.659999999999999
2016,Michigan,26,Midwest,East North Central,38000000,244000000,6.41
2017,Michigan,26,Midwest,East North Central,33600000,237000000,7.05
2018,Michigan,26,Midwest,East North Central,37400000,259000000,6.92
2019,Michigan,26,Midwest,East North Central,35400000,276000000,7.79
2020,Michigan,26,Midwest,East North Central,32800000,254000000,7.76
2021,Michigan,26,Midwest,East North Central,36000000,287000000,7.970000000000001
2022,Michigan,26,Midwest,East North Central,37200000,368000000,9.9
2023,Michigan,26,Midwest,East North Central,34400000,377000000,10.96
2015,Minnesota,27,Midwest,West North Central,7780000,97800000,12.56
2016,Minnesota,27,Midwest,West North Central,7340000,93300000,12.719999999999999
2017,Minnesota,27,Midwest,West North Central,7120000,96900000,13.62
2018,Minnesota,27,Midwest,West North Central,7710000,106000000,13.709999999999999
2019,Minnesota,27,Midwest,West North Central,8010000,72100000,9
2020,Minnesota,27,Midwest,West North Central,8580000,79000000,9.21
2021,Minnesota,27,Midwest,West North Central,9130000,96800000,10.61
2022,Minnesota,27,Midwest,West North Central,8550000,106000000,12.350000000000001
2023,Minnesota,27,Midwest,West North Central,8810000,113000000,12.82
2015,Mississippi,28,South,East South Central,1900000,55200000,29.05
