state_fips,state,year,region,division,crushed_stone_tons,crushed_stone_total_value,crushed_stone_unit_value,census_bps_time,region_code,division_code,census_bps_state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,capital_right_of_way,capital_engineering,capital_construction_preservation,capital_outlay_total,physical_maintenance,traffic_control_operations,snow_ice_removal,other_services,toll_collection_expenses,highway_traffic_services_total,general_administration,research_planning,administration_research_total,traffic_supervision,highway_safety_driver_education,vehicle_inspection,size_weight_enforcement,law_enforcement_safety_total,construction_employment_thousands,months_reported,series_id,real_gdp,personal_income,construction_real_gdp,construction_real_gdp_unit,unit_multiplier,construction_real_gdp_growth_pct,private_nonresidential_spending_nominal_millions,state_local_construction_spending_nominal_millions,industrial_distillate_price_per_mmbtu,industrial_electricity_price_per_mmbtu,industrial_natural_gas_price_per_mmbtu,industrial_energy_price_per_mmbtu,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,lag_active_stone_mines,lag_stone_mine_employee_hours,mortgage_rate_pct,mortgage_rate_observations,cpi_index,inflation_pct,cpi_observations
02,Alaska,2016,West,Pacific,760000,15500000,20.39,201699,4,9,Alaska,1035,1035,301850,38,76,11849,26,88,12004,30,304,43339,303,303,73597,37,74,11617,14,51,5581,12,130,15831,26015,87346,786625,899986,58848,6472,20912,0,134800,162184,72552,27977,100529,39175,1842,1861,1755,44633,,,,53463.9,41285.5,2550.2,millions_of_chained_2017_dollars,6,-5.851515487134051,224,2618,16.37,44.6,5.05,18.73,16,64,67206,16,21,73608,3.6540384615384616,52,240.00541666666663,1.2673605433996429,12
02,Alaska,2017,West,Pacific,1050000,22300000,21.32,201799,4,9,Alaska,1127,1127,331420,48,96,14820,21,74,11374,26,242,38054,295,295,73939,47,94,14710,7,27,3209,7,70,10861,26015,87346,786625,899986,58848,6472,20912,0,134800,162184,72552,27977,100529,39175,1842,1861,1755,44633,,,,53550.9,41919.4,2445,millions_of_chained_2017_dollars,6,-4.125166653595791,236,1586,17.630000000000003,47.89,4.6899999999999995,20.16,19,74,57516,19,16,67206,3.989807692307692,52,245.121,2.131444950027195,12
02,Alaska,2018,West,Pacific,1400000,27800000,19.88,201899,4,9,Alaska,1227,1227,356698,55,110,17606,17,61,10096,29,279,44620,330,330,79013,54,108,17304,4,13,1759,10,113,18376,20918,130975,559333,711226,60423,5229,25339,0,147700,178268,68811,23498,92309,43028,4499,2014,1513,51054,,,,52479.6,43522.7,2500.5,millions_of_chained_2017_dollars,6,2.2699386503067576,352,1352,20.66,50.13,5.970000000000001,24.41,18,73,84884,18,19,57516,4.544615384615384,52,251.0995,2.438999514525486,12
02,Alaska,2019,West,Pacific,1540000,27700000,18.05,201999,4,9,Alaska,1147,1147,336955,27,54,8527,23,85,13497,41,394,53942,309,309,74441,27,54,8527,10,37,5159,21,221,26591,15819,138756,612999,767574,74236,9893,27092,0,147700,184685,22660,22645,45305,46042,4784,1947,1787,54560,,,,52377.5,44459.7,2560,millions_of_chained_2017_dollars,6,2.379524095180962,494,1494,16.630000000000003,49.66,5.95,20.89,16,83,80045,16,18,84884,3.935769230769231,52,255.65258333333333,1.8132586219141489,12
02,Alaska,2020,West,Pacific,1530000,14700000,9.59,202099,4,9,Alaska,1019,1019,310554,30,60,10477,24,86,14641,21,255,45684,286,286,83249,29,58,10171,14,50,8387,9,141,27661,21142,102828,484978,608948,78856,11190,30433,0,159970,201593,19906,31985,51891,54799,4541,2063,1898,63301,,,,50901.3,45375.8,2467.7,millions_of_chained_2017_dollars,6,-3.605468750000007,273,1232,11.61,46.56,4.91,17.979999999999997,16,73,61165,16,16,80045,3.111698113207547,53,258.85575,1.2529373358571627,12
02,Alaska,2021,West,Pacific,807000,8900000,11.03,202199,4,9,Alaska,1158,1158,353576,17,34,5555,29,103,15405,24,257,38763,284,284,77723,16,32,5249,16,54,6952,2,13,1762,16331,138946,569206,724483,83533,8757,37770,0,93500,140027,18325,24707,43032,50967,6533,1896,1965,61361,,,,51764,48327.1,2374.9,millions_of_chained_2017_dollars,6,-3.76058678121326,201,1537,17.52,49.39,5.3,16.259999999999998,17,88,66711,17,16,61165,2.9576923076923074,52,270.97341666666665,4.681242996018686,12
02,Alaska,2022,West,Pacific,541000,6040000,11.16,202299,4,9,Alaska,471,471,167385,22,44,7702,5,18,2351,5,45,7149,431,431,158560,22,44,7702,5,18,2351,5,45,7149,17533,131932,553468,702933,78875,10220,32792,0,96000,139012,18865,24809,43674,51114,7047,2513,2157,62831,,,,50509.1,50793.7,2106.8,millions_of_chained_2017_dollars,6,-11.28889637458419,659,1389,30.07,54.02,6.84,15.95,15,58,47010,15,17,66711,5.344038461538461,52,292.62641666666667,7.990820747791694,12
02,Alaska,2023,West,Pacific,589000,7150000,12.14,202399,4,9,Alaska,599,599,214342,24,48,10231,4,15,2283,13,275,35027,556,556,204594,24,48,10231,4,15,2283,13,275,35027,13212,82575,682923,778710,83130,9295,34851,0,121048,165194,20932,33205,54137,49931,7456,2540,1903,61830,,,,54183.8,53322,2224.5,millions_of_chained_2017_dollars,6,5.58667172963736,483,1949,27.21,54.809999999999995,6.54,14.739999999999998,16,68,60062,16,15,47010,6.806730769230769,52,304.703,4.12696279129503,12
04,Arizona,2015,West,Mountain,10300000,92200000,8.98,201599,4,8,Arizona,22311,22311,5952358,111,222,30101,61,225,34564,299,6152,968691,21748,21748,5797570,106,212,28955,59,217,34078,285,6039,958438,66380,81141,639113,786634,131372,20945,4174,6670,0,31789,191268,36514,227782,117429,15264,33058,2858,168609,14.858333333333334,12,SMU04000002023700001,308582.8,267474.1,12776.5,millions_of_chained_2017_dollars,6,,3498,2817,15.03,18.36,6.49,15.17,63,515,1013293,63,,,3.850576923076923,52,237.00175,,12
04,Arizona,2016,West,Mountain,9410000,91000000,9.67,201699,4,8,Arizona,24853,24853,6645128,233,484,53061,42,168,28932,290,10073,1317403,24288,24288,6462750,227,472,51780,42,168,28932,287,9963,1303783,254117,90336,710522,1054975,126446,13617,4061,3810,0,21488,151119,98685,249804,122024,17686,30786,0,170496,14.383333333333333,12,SMU04000002023700001,319008.4,279696.7,13918.7,millions_of_chained_2017_dollars,6,8.939850506789826,4006,2824,12.97,17.779999999999998,5.56,13.86,64,513,1026507,64,63,1013293,3.6540384615384616,52,240.00541666666663,1.2673605433996429,12
04,Arizona,2017,West,Mountain,9810000,91400000,9.32,201799,4,8,Arizona,28072,28072,7115946,216,432,47550,73,273,43648,452,10695,1494132,27822,27822,7046357,213,426,47550,73,273,43648,451,10687,1493360,170879,78433,746996,996308,129086,14921,6064,5561,0,26546,184341,54042,238383,118653,9836,29398,0,157887,15.391666666666666,12,SMU04000002023700001,333099,297261.5,15520.3,millions_of_chained_2017_dollars,6,11.506821757779084,3944,4253,15.45,18.91,6.1899999999999995,14.98,64,507,965443,64,64,1026507,3.989807692307692,52,245.121,2.131444950027195,12
04,Arizona,2018,West,Mountain,11800000,111000000,9.42,201899,4,8,Arizona,32127,32127,8343636,323,646,67685,76,264,45963,305,8627,1270438,31037,31037,8031825,322,644,67444,75,261,45477,278,8286,1221311,169374,88711,848157,1106242,124975,17835,3487,5261,0,26583,175253,68075,243328,123230,9917,28096,0,161243,17.116666666666667,12,SMU04000002023700001,346398.3,315459,17030.5,millions_of_chained_2017_dollars,6,9.730482013878603,5685,4169,18.72,19.19,5.75,16.2,62,505,968167,62,64,965443,4.544615384615384,52,251.0995,2.438999514525486,12
04,Arizona,2019,West,Mountain,10900000,121000000,11.05,201999,4,8,Arizona,33981,33981,9040908,438,876,112744,60,202,41261,326,11521,1655643,33683,33683,8966177,432,864,111186,60,202,41261,314,10234,1431676,64111,76949,1234567,1375627,136646,16371,3363,5073,0,24807,139975,84355,224330,40498,10268,31443,0,82209,19.225,12,SMU04000002023700001,359576.7,337257.2,18334.7,millions_of_chained_2017_dollars,6,7.658025307536476,8287,4596,17.57,18.4,3.99,15.68,61,501,990188,61,62,968167,3.935769230769231,52,255.65258333333333,1.8132586219141489,12
04,Arizona,2020,West,Mountain,11000000,120000000,10.92,202099,4,8,Arizona,42277,42277,11316498,520,1040,130229,91,311,44797,522,16714,2306834,40937,40937,10974318,492,984,123183,90,307,44547,470,14864,1998513,87508,94021,902722,1084251,129334,16428,5369,5796,0,27593,126428,128270,254698,17622,11178,29928,0,58728,20.558333333333337,12,SMU04000002023700001,366588,374282.4,19960.8,millions_of_chained_2017_dollars,6,8.868975221847087,9581,5197,12.26,17.79,3.84,13.78,57,481,933967,57,61,990188,3.111698113207547,53,258.85575,1.2529373358571627,12
04,Arizona,2021,West,Mountain,11400000,124000000,10.91,202199,4,8,Arizona,46561,46561,12666074,666,1332,160904,96,336,64318,727,17105,2431395,45197,45197,12327048,630,1260,152106,95,332,64105,652,14583,2013140,101998,88840,667115,857953,141328,4031,9110,27912,0,41053,146452,124386,270838,18293,10259,26785,0,55337,20.083333333333332,12,SMU04000002023700001,396457.5,415893.1,20707.7,millions_of_chained_2017_dollars,6,3.741833994629484,14250,4398,18.5,19.89,6.2,16.919999999999998,56,498,970020,56,57,933967,2.9576923076923074,52,270.97341666666665,4.681242996018686,12
04,Arizona,2022,West,Mountain,11200000,131000000,11.68,202299,4,8,Arizona,37288,37288,10532726,937,1874,234113,86,308,103719,701,22061,3651104,36201,36201,10268503,902,1804,225840,86,308,103719,625,19522,3229891,92347,103382,711386,907115,120512,2546,6349,20639,0,29534,139854,129671,269525,21367,13754,25761,0,60882,22.316666666666663,12,SMU04000002023700001,413798.8,435718.7,21122.8,millions_of_chained_2017_dollars,6,2.004568348971625,33105,4526,28.76,23.05,7.25,22.29,55,509,1027545,55,56,970020,5.344038461538461,52,292.62641666666667,7.990820747791694,12
04,Arizona,2023,West,Mountain,13400000,174000000,13.02,202399,4,8,Arizona,34429,34429,9959478,1037,2074,266339,88,334,61286,710,21596,3277076,32272,32272,9401011,997,1994,255453,88,334,61286,640,19380,2909818,98487,97225,849750,1045462,150329,3573,15624,23574,0,42771,309053,123412,432465,32644,14180,28468,0,75292,24.45,12,SMU04000002023700001,427644,471040.2,22526.2,millions_of_chained_2017_dollars,6,6.644005529569941,46279,4888,24.479999999999997,23.76,6.78,20.79,50,431,811905,50,55,1027545,6.806730769230769,52,304.703,4.12696279129503,12
05,Arkansas,2015,South,West South Central,27800000,236000000,8.5,201599,3,7,Arkansas,5709,5709,1162374,167,334,29420,36,131,7632,136,2326,180680,5223,5223,1095769,162,324,28785,33,122,7295,117,2132,168291,33982,95331,724009,853322,163990,7890,17201,22691,0,47782,45113,11118,56231,62881,20403,0,6841,90125,,,,121532.5,116632.4,4550.6,millions_of_chained_2017_dollars,6,,2654,1976,13.96,18.25,6.819999999999999,9.97,0,0,0,0,,,3.850576923076923,52,237.00175,,12
05,Arkansas,2016,South,West South Central,29400000,264000000,8.960000000000003,201699,3,7,Arkansas,6816,6816,1362332,269,538,53086,61,214,11452,138,1906,136012,5955,5955,1230841,232,464,48431,54,190,10416,110,1651,121678,47996,94285,785039,927320,184479,7695,4812,23350,0,35857,23957,10648,34605,63668,15920,0,6937,86525,,,,123034.9,119758.8,4698.3,millions_of_chained_2017_dollars,6,3.245725838350988,2319,2816,12.31,17.810000000000002,5.71,9.17,0,0,0,0,0,0,3.6540384615384616,52,240.00541666666663,1.2673605433996429,12
05,Arkansas,2017,South,West South Central,30900000,293000000,9.460000000000004,201799,3,7,Arkansas,7376,7376,1500229,231,462,49161,105,386,20947,145,2571,196151,6540,6540,1371527,207,414,45823,89,331,18312,113,2298,181225,57954,94565,1073072,1225591,169897,7792,3953,25635,0,37380,25199,10706,35905,64006,43236,0,7117,114359,,,,123882.6,123825.4,4819.6,millions_of_chained_2017_dollars,6,2.5817849009216243,2155,2586,14.98,17.8,6.55,9.56,0,0,0,0,0,0,3.989807692307692,52,245.121,2.131444950027195,12
05,Arkansas,2018,South,West South Central,29000000,274000000,9.47,201899,3,7,Arkansas,7354,7354,1557355,213,426,38870,96,349,28557,109,2050,204659,6088,6088,1331650,179,358,34027,68,251,23803,69,1590,175098,33612,105752,1060915,1200279,166704,7963,6572,24841,0,39376,26573,10117,36690,60563,19029,0,7728,87320,,,,126371.2,128970.8,4762.3,millions_of_chained_2017_dollars,6,-1.1888953440119532,2257,3491,18.41,16.53,6.6899999999999995,9.86,0,0,0,0,0,0,4.544615384615384,52,251.0995,2.438999514525486,12
05,Arkansas,2019,South,West South Central,29600000,282000000,9.54,201999,3,7,Arkansas,7869,7869,1716632,280,560,71276,112,415,31447,158,3879,352252,6871,6871,1535939,268,536,69550,107,396,30504,115,3381,320399,23826,93528,802429,919783,168356,9351,6020,23743,0,39114,28925,10282,39207,67395,17874,0,7907,93176,,,,127220,131394.8,4859.8,millions_of_chained_2017_dollars,6,2.0473300716040477,3345,2223,16.979999999999997,17.97,6.17,9.86,0,0,0,0,0,0,3.935769230769231,52,255.65258333333333,1.8132586219141489,12
05,Arkansas,2020,South,West South Central,31100000,299000000,9.63,202099,3,7,Arkansas,8802,8802,1967409,366,732,87187,154,528,42061,178,2431,257089,7334,7334,1724841,329,658,82066,112,374,34184,138,2026,229646,39498,106361,880060,1025919,169269,9256,3130,21131,0,33517,30855,10064,40919,56506,19265,0,8703,84474,,,,128395.6,142072.2,4970.9,millions_of_chained_2017_dollars,6,2.2861023087369814,2820,2913,11.8,17.27,6.17,9.47,0,0,0,0,0,0,3.111698113207547,53,258.85575,1.2529373358571627,12
05,Arkansas,2021,South,West South Central,34100000,342000000,10.02,202199,3,7,Arkansas,10563,10563,2510146,308,616,70596,160,567,65517,126,2452,211357,9028,9028,2245391,266,532,64869,109,391,56269,82,2009,178545,56812,112700,1153190,1322702,156728,9097,17501,20967,0,47565,52135,9676,61811,57684,19632,0,8765,86081,,,,137634.8,161493.9,5200.5,millions_of_chained_2017_dollars,6,4.618881892615034,2553,2827,18.17,19.24,7.65,11.61,0,0,0,0,0,0,2.9576923076923074,52,270.97341666666665,4.681242996018686,12
05,Arkansas,2022,South,West South Central,31800000,336000000,10.58,202299,3,7,Arkansas,9473,9473,2546336,300,600,80138,163,582,60009,178,3709,324175,8181,8181,2325170,250,500,71295,111,404,50845,123,3161,283803,37084,127462,1236278,1400824,168464,9816,20812,22856,0,53484,30474,10853,41327,62510,20259,0,9656,92425,,,,138672,163688.6,4986.8,millions_of_chained_2017_dollars,6,-4.109220267281987,3634,3145,28.459999999999997,21.630000000000003,10.3,14.77,0,0,0,0,0,0,5.344038461538461,52,292.62641666666667,7.990820747791694,12
05,Arkansas,2023,South,West South Central,33000000,359000000,10.87,202399,3,7,Arkansas,9360,9360,2383914,515,1030,163451,103,356,29688,145,2096,259538,8117,8117,2165803,458,916,153304,47,167,19954,97,1621,225161,86793,142124,1232014,1460931,159506,10156,39266,24539,0,73961,69042,11842,80884,78835,14556,0,8986,102377,,,,141968,173568.3,5243.3,millions_of_chained_2017_dollars,6,5.14357904868854,6047,4853,22.959999999999997,20.12,9.27,13.45,0,0,0,0,0,0,6.806730769230769,52,304.703,4.12696279129503,12
06,California,2015,West,Pacific,38200000,350000000,9.16,201599,4,9,California,45644,45644,14060553,721,1442,272728,401,1366,237005,1601,49736,8066888,43051,43051,13372343,692,1384,257814,375,1281,223949,1459,48208,7898785,238916,520330,2306604,3065850,1109740,134992,1,4192,111275,250460,510506,88257,598763,1790185,78772,121490,40414,2030861,80.54166666666667,12,SMU06000002023700001,2545979.5,2097049.6,97403.7,millions_of_chained_2017_dollars,6,,19908,32749,15.3,35.65,6.18,13.4,72,422,702500,72,,,3.850576923076923,52,237.00175,,12
06,California,2016,West,Pacific,37100000,338000000,9.11,201699,4,9,California,50311,50311,15201727,799,1598,293218,461,1591,299666,1544,48850,8250579,47610,47610,14484140,775,1550,279836,430,1485,285157,1401,46714,7963542,233850,392716,1585578,2212144,1195249,131883,1,2646,62216,196746,531977,89805,621782,1846258,99161,134328,42720,2122467,82.15833333333333,12,SMU06000002023700001,2623711.7,2191138,104378.3,millions_of_chained_2017_dollars,6,7.16050827637964,26305,30438,13.21,34.94,6.56,12.86,74,436,724998,74,72,702500,3.6540384615384616,52,240.00541666666663,1.2673605433996429,12
06,California,2017,West,Pacific,39700000,380000000,9.58,201799,4,9,California,57132,57132,17227303,1084,2168,415680,628,2138,385404,1874,53342,9753820,53138,53138,16039078,1001,2002,386020,577,1968,363948,1714,51441,9475674,184194,363517,1317826,1865537,1251511,135753,31600,2854,89431,259638,558072,99049,657121,1878022,117045,145065,36875,2177007,85.11666666666666,12,SMU06000002023700001,2740550.3,2295048.7,110699.1,millions_of_chained_2017_dollars,6,6.05566482688451,30230,32872,15.69,37.309999999999995,6.81,13.65,77,485,834565,77,74,724998,3.989807692307692,52,245.121,2.131444950027195,12
06,California,2018,West,Pacific,41100000,388000000,9.43,201899,4,9,California,58831,58831,17843585,1295,2590,480909,588,2050,389207,1763,50031,9130926,54713,54713,16563958,1185,2370,436007,534,1875,367343,1569,47938,8795219,277109,1186589,3114875,4578573,1522673,135148,26568,3408,70168,235292,797018,62205,859223,1952498,167616,149519,39790,2309423,90.03333333333333,12,SMU06000002023700001,2850970.3,2411055.1,116056.6,millions_of_chained_2017_dollars,6,4.8396960770232145,30416,37287,19.01,38.690000000000005,6.89,14.58,72,478,837145,72,77,834565,4.544615384615384,52,251.0995,2.438999514525486,12
06,California,2019,West,Pacific,41900000,453000000,10.81,201999,4,9,California,58575,58575,17376935,1238,2476,498041,492,1694,305526,1600,47452,8402846,56085,56085,16660377,1210,2420,480472,470,1623,291986,1512,46005,8150225,262670,1306343,2944955,4513968,2067459,145615,37801,2880,77611,263907,553819,26488,580307,2047844,153080,167726,41788,2410438,92.38333333333333,12,SMU06000002023700001,2969609,2539747.4,119243.5,millions_of_chained_2017_dollars,6,2.7459877335713756,25729,41249,17.84,39.27,7.44,14.76,73,509,856611,73,72,837145,3.935769230769231,52,255.65258333333333,1.8132586219141489,12
06,California,2020,West,Pacific,40300000,434000000,10.75,202099,4,9,California,59043,59043,16507110,1070,2140,403077,482,1677,327938,1384,43215,8184995,51537,51537,14252828,993,1986,359230,430,1506,295715,1207,39928,7675593,220578,1466897,3479383,5166858,1846050,205265,31743,0,613976,850984,405054,19523,424577,2279252,119717,169133,49404,2617506,91.65,12,SMU06000002023700001,2930654.6,2770488.8,113508.9,millions_of_chained_2017_dollars,6,-4.80915102290691,22429,44735,12.45,41.82,7.3,14.58,72,496,820983,72,73,856611,3.111698113207547,53,258.85575,1.2529373358571627,12
06,California,2021,West,Pacific,38300000,455000000,11.89,202199,4,9,California,65890,65890,18779857,1204,2408,531442,469,1631,353962,1763,49507,9059617,62562,62562,17747883,1147,2294,486570,452,1578,342837,1638,47264,8714424,189480,1411900,3973153,5574533,1640388,183553,30175,0,30657,244385,487809,23034,510843,2024002,68911,164861,43148,2300922,94.4,12,SMU06000002023700001,3151112.5,3019215.7,114963.6,millions_of_chained_2017_dollars,6,1.2815735153807406,24497,45622,18.79,43.43,9.43,17.259999999999998,68,442,746403,68,72,820983,2.9576923076923074,52,270.97341666666665,4.681242996018686,12
