feature,n,r_squared,rmse,mae,rmse_skill,change_r_squared,naive_rmse,states
l_energy,137,0.9940926840909386,2613219.1625239705,1611995.982564028,-0.02388985607489902,-0.16969888502130992,2552246.364215186,47
l_bls,98,0.9935729676615076,2890747.9613560326,1901068.1841708291,-0.042778988901884585,-0.2561016267395755,2772157.8513968545,34
l_mines,137,0.9942426609431911,2579833.2694097823,1558260.3127174205,-0.010808872364905575,-0.14000219035332173,2552246.364215186,47
l_private,137,0.99499750413788,2404773.098600099,1524169.4947267866,0.0577817516689596,0.009463194059103452,2552246.364215186,47
l_public,137,0.9953516045509728,2318100.547746587,1471756.3772379046,0.0917410716110858,0.0795780930684753,2552246.364215186,47
