state_fips,year,active_new,active_legacy,hours_new,hours_legacy
49,2015,26,2,348063,41964
49,2016,22,1,315924,12079
49,2017,25,2,305439,12621
49,2018,27,2,369374,32229
49,2019,24,1,319805,6079
49,2020,24,1,336187,31394
49,2021,22,2,363125,22122
49,2022,23,2,409180,11827
49,2023,22,2,414084,29812
50,2015,101,0,599623,0
50,2016,100,0,607159,0
50,2017,101,0,566679,0
50,2018,103,1,602823,78
50,2019,106,1,624591,3
50,2020,99,0,611034,0
50,2021,94,0,581975,0
50,2022,94,0,615336,0
50,2023,95,0,680500,0
51,2015,97,0,1496942,0
51,2016,96,0,1565750,0
51,2017,98,0,1539535,0
51,2018,97,0,1538585,0
51,2019,97,0,1528503,0
51,2020,92,0,1434480,0
51,2021,93,0,1447986,0
51,2022,92,0,1465460,0
51,2023,95,0,1507755,0
53,2015,79,0,563667,0
53,2016,84,0,608745,0
53,2017,85,0,646527,0
53,2018,85,0,590884,0
53,2019,83,0,629159,0
53,2020,83,0,595175,0
53,2021,85,0,629809,0
53,2022,82,0,632780,0
53,2023,82,0,660430,0
54,2015,24,0,390445,0
54,2016,24,0,388832,0
54,2017,24,0,364545,0
54,2018,25,0,378749,0
54,2019,24,0,411716,0
54,2020,29,0,475768,0
54,2021,28,0,454378,0
54,2022,28,0,444775,0
54,2023,28,0,477358,0
55,2015,192,160,1494949,1015116
55,2016,192,160,1447451,957210
55,2017,196,164,1505309,959465
55,2018,197,165,1595261,1012497
55,2019,196,164,1696465,1057846
55,2020,196,165,1720296,1090681
55,2021,202,171,1832013,1144022
55,2022,198,169,1960876,1285006
55,2023,198,168,1956222,1243170
