state_fips,state,year,target_observed,target_withheld,fhwa_year_matches,bls_months,msha_no_qualifying_activity,eligible_explanation,eligible_prediction
12,Florida,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
12,Florida,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
12,Florida,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
12,Florida,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
12,Florida,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
12,Florida,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
13,Georgia,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
13,Georgia,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
13,Georgia,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
13,Georgia,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
13,Georgia,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
13,Georgia,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
13,Georgia,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
13,Georgia,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
13,Georgia,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
15,Hawaii,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
15,Hawaii,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
15,Hawaii,2017,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
15,Hawaii,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
15,Hawaii,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
15,Hawaii,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
15,Hawaii,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
15,Hawaii,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
15,Hawaii,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
16,Idaho,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
16,Idaho,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
16,Idaho,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
