variable,observations,within_share_of_total_ss,between_share
ly,325,0.007059993169795537,0.9929400068302044
l_permits_t,325,0.01705309547785087,0.9829469045221492
l_highway_t,325,0.046718534834806195,0.9532814651651939
l_gdp_t,325,0.005791732056271759,0.9942082679437283
