excluded_state,model,n,r_squared,rmse,mae,rmse_skill,change_r_squared
Texas,log_ar_l_highway,134,0.9927398313975111,2100898.847779712,1371774.79144636,0.09265900445643482,0.0799693024505338
Pennsylvania,log_ar_l_highway,134,0.9957816012430802,2151223.299095912,1375873.8412268327,0.09490943238005145,0.07697765354931119
Florida,log_ar_l_highway,134,0.9950401544838057,2356507.5589839793,1480686.5547498092,0.06846119836436082,0.044303509235436245
Missouri,log_ar_l_highway,134,0.9950804349599639,2354627.222375339,1473827.9920018096,0.043428998544124964,-0.004660761111143552
Ohio,log_ar_l_highway,134,0.9952634674756183,2333527.502980033,1457315.1760195515,0.07562453796200086,0.05245021519540782
