state_fips,state,year,fitted_log,residual_log,standardized_residual,cooks_distance,leverage,prior_residual
56,Wyoming,2015,16.195091614897326,0.5273200029143225,5.67633007168895,0.09685573834059329,0.15063810940593486,
02,Alaska,2022,13.541937469451401,-0.34076291162278194,-3.928349227366312,0.09162844315189017,0.259433565684658,-0.1449391786813514
02,Alaska,2020,13.778919675809348,0.46185861755927116,4.975124148410221,0.0750904990836629,0.15181650066504182,0.39402555130869693
02,Alaska,2023,13.696545684012296,-0.4103642213785716,-4.43564545515981,0.062400052313610024,0.15762612649566116,-0.34076291162278194
02,Alaska,2019,13.853267423081114,0.39402555130869693,4.263345236577285,0.05838614984564533,0.15932655746452254,0.34552676135598354
38,North Dakota,2016,13.123173305908464,0.3830910016881877,4.147235565336697,0.05561773521579881,0.16021897865215348,0.27614661277150904
38,North Dakota,2015,13.301106756068508,0.27614661277150904,3.1147315029568197,0.04812196912143834,0.226397664786,
02,Alaska,2018,13.806456033229503,0.34552676135598354,3.744633618508291,0.045957828098541285,0.1620380920861262,
56,Wyoming,2022,16.1278312241449,-0.34381068520806973,-3.6982391316489887,0.04071397266113771,0.14939423387796918,-0.2823507259070324
02,Alaska,2016,13.837120009062104,-0.2960462967995904,-3.1994640348156236,0.03239963878247191,0.1573555543246291,-0.009298321741656545
28,Mississippi,2020,14.419276841573305,-0.32613454701075134,-3.4759500604645153,0.031573710695738784,0.13358469303110887,0.13598894230406203
28,Mississippi,2021,14.412954715255623,-0.31981242069306876,-3.4043361210258705,0.029723404112862423,0.13142895099566393,-0.32613454701075134
56,Wyoming,2021,16.104732132716308,-0.2823507259070324,-3.0110874214775567,0.023903926898227113,0.1346124362029891,-0.03285386292000858
16,Idaho,2015,15.219712986416518,0.24253126872555333,2.6050234406418573,0.01980837059839917,0.14691605608959113,
38,North Dakota,2022,12.84392488860274,-0.1963766974413676,-2.1104356284102384,0.013097937587416298,0.14785157460355916,-0.17015323562406628
15,Hawaii,2015,15.63022299160633,-0.17571571896641092,-1.9079392654835718,0.012211519490317032,0.16522064928545532,
38,North Dakota,2018,12.883064213725119,-0.188411553376274,-2.024196903203462,0.0119979913030816,0.14731404416769653,-0.01198212953316806
15,Hawaii,2023,15.464480946275952,0.18520979680032956,1.987925075500213,0.011423980617277993,0.14570581820852083,0.06714387142863977
32,Nevada,2023,16.30086139128863,-0.18276574033031126,-1.9645697187769706,0.011381939949150776,0.1482066397153722,-0.1345461390296663
04,Arizona,2015,15.975779674327741,0.17187477887212207,1.8616749076909522,0.011283089483727986,0.1611270774832334,
38,North Dakota,2019,12.904341873275529,-0.17650366394102995,-1.893898117692365,0.010325223075106435,0.14518174676945714,-0.188411553376274
44,Rhode Island,2019,14.647321377014908,-0.17429081613384104,-1.8714610226728003,0.010179119874297966,0.1463752547212032,-0.16797324507453104
35,New Mexico,2023,15.483939072991545,-0.168805468600377,-1.8135527112272432,0.009630354777947938,0.1473079385905341,-0.023910284217492875
15,Hawaii,2018,15.53489273999195,-0.17608407209812105,-1.8816528331300413,0.009617913337293388,0.13813209046901212,-0.11009069180144287
44,Rhode Island,2018,14.571270467940924,-0.16797324507453104,-1.8050820950256805,0.00957436764733691,0.14775223697780027,0.10219082536825738
32,Nevada,2018,16.14164433138114,0.1753021783223438,1.8720411132926653,0.009427495840009644,0.13697490846537266,0.1643573878315782
38,North Dakota,2021,12.84934963773622,-0.17015323562406628,-1.823720168001885,0.009427106265239673,0.1432707705644865,0.022667248307697244
28,Mississippi,2023,14.469676489583719,0.17874319131565886,1.9019288855155185,0.009221313246114056,0.1307393335124709,-0.05691211963608213
15,Hawaii,2021,15.424479719900324,0.15747249930771606,1.7008592263068583,0.009088340067094464,0.156369519859634,0.10211059613310289
49,Utah,2016,16.04101346099507,-0.1611749991610086,-1.7333252123906446,0.008917924905190059,0.14902890863475599,-0.06951212785230876
32,Nevada,2017,16.127691570250178,0.1643573878315782,1.7617753258579851,0.008809823241200667,0.14344160496251723,0.015352552752127815
16,Idaho,2019,15.416252276373932,-0.1632790707153662,-1.7472437936318537,0.008460049925010189,0.14052432679566573,0.03613939867061873
48,Texas,2015,19.014283928851164,-0.15534825396764002,-1.6603619702130354,0.00750793851161193,0.13843755593769483,
35,New Mexico,2015,15.288905925420561,0.1597590715951289,1.7013118932800146,0.007470556196611872,0.13215384840914773,
09,Connecticut,2015,16.202409781133742,-0.1504539326799646,-1.6120830990397004,0.007334344269896558,0.14274149922393148,
44,Rhode Island,2022,14.579144779482817,0.14864848895807375,1.59479759351892,0.00730802952596426,0.14495412474397087,0.0012368881528009507
28,Mississippi,2018,14.38157772176658,0.15663881899918214,1.6670718267742382,0.007107059641887593,0.13110011883680164,0.1380396298650383
02,Alaska,2021,13.746018125933437,-0.1449391786813514,-1.5568575929080721,0.007079205424687082,0.1469914669121239,0.46185861755927116
32,Nevada,2021,16.260918378198006,-0.14683074863722634,-1.5713871626134288,0.0068524645710339605,0.14069530168454752,-0.014511477529395939
54,West Virginia,2018,16.668401151298607,-0.10561967907884053,-1.1758401250444759,0.006076280729788857,0.20590457020876451,-0.05638823261809496
28,Mississippi,2016,14.44813678529487,0.14210094022177253,1.5139225933562754,0.005954347315347883,0.13290611354907014,-0.04865243536581199
