year,observed_states,observed_state_tons,national_sold_used_metric_tons,observed_share
2015,48,1332718000,1340000000,0.994565671641791
2016,48,1353384000,1360000000,0.995135294117647
2017,48,1367017000,1370000000,0.9978226277372263
2018,48,1394836000,1400000000,0.9963114285714286
2019,47,1458277000,1470000000,0.9920251700680273
2020,47,1447381000,1460000000,0.9913568493150685
2021,47,1497298000,1510000000,0.9915880794701987
