state_fips,year,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,msha_no_qualifying_activity,msha_uses_current_commodity,msha_activity_not_rated_capacity
16,2021,31,272,319310,31,FALSE,TRUE,TRUE
16,2022,31,260,308494,31,FALSE,TRUE,TRUE
16,2023,31,257,349232,31,FALSE,TRUE,TRUE
17,2015,117,725,1411945,117,FALSE,TRUE,TRUE
17,2016,112,731,1465463,112,FALSE,TRUE,TRUE
17,2017,112,731,1419264,112,FALSE,TRUE,TRUE
17,2018,110,738,1429424,110,FALSE,TRUE,TRUE
17,2019,112,734,1425330,112,FALSE,TRUE,TRUE
17,2020,114,735,1512881,114,FALSE,TRUE,TRUE
17,2021,113,722,1433941,113,FALSE,TRUE,TRUE
17,2022,110,709,1392627,110,FALSE,TRUE,TRUE
17,2023,104,721,1517809,104,FALSE,TRUE,TRUE
18,2015,94,620,1286739,94,FALSE,TRUE,TRUE
18,2016,95,664,1367142,95,FALSE,TRUE,TRUE
18,2017,99,649,1328005,99,FALSE,TRUE,TRUE
18,2018,98,653,1310673,98,FALSE,TRUE,TRUE
18,2019,97,650,1354773,97,FALSE,TRUE,TRUE
18,2020,96,688,1393438,96,FALSE,TRUE,TRUE
18,2021,95,658,1320248,95,FALSE,TRUE,TRUE
18,2022,92,765,1318683,92,FALSE,TRUE,TRUE
18,2023,95,674,1373533,95,FALSE,TRUE,TRUE
19,2015,123,797,1496234,123,FALSE,TRUE,TRUE
19,2016,122,791,1533293,122,FALSE,TRUE,TRUE
19,2017,122,811,1479809,122,FALSE,TRUE,TRUE
19,2018,125,808,1426917,125,FALSE,TRUE,TRUE
19,2019,123,779,1412356,123,FALSE,TRUE,TRUE
19,2020,132,827,1506522,132,FALSE,TRUE,TRUE
19,2021,129,831,1455302,129,FALSE,TRUE,TRUE
19,2022,135,837,1521463,135,FALSE,TRUE,TRUE
19,2023,129,810,1487668,129,FALSE,TRUE,TRUE
20,2015,90,585,962967,90,FALSE,TRUE,TRUE
20,2016,92,592,1056768,92,FALSE,TRUE,TRUE
20,2017,101,582,1011717,101,FALSE,TRUE,TRUE
20,2018,98,544,906998,98,FALSE,TRUE,TRUE
20,2019,96,516,926729,96,FALSE,TRUE,TRUE
20,2020,102,574,1078593,102,FALSE,TRUE,TRUE
20,2021,107,609,1126858,107,FALSE,TRUE,TRUE
20,2022,110,612,1082707,110,FALSE,TRUE,TRUE
20,2023,113,598,1034323,113,FALSE,TRUE,TRUE
21,2015,67,623,1323062,67,FALSE,TRUE,TRUE
21,2016,62,657,1379696,62,FALSE,TRUE,TRUE
21,2017,67,673,1437004,67,FALSE,TRUE,TRUE
21,2018,68,638,1342192,68,FALSE,TRUE,TRUE
21,2019,72,685,1421614,72,FALSE,TRUE,TRUE
