year,cpi_index,cpi_index_observations,mortgage_rate_pct,mortgage_rate_pct_observations,inflation_pct,cpi_2017_multiplier
2014,236.715,12,4.168867924528302,53,,1.0355110576009126
2015,237.00175000000002,12,3.850576923076923,52,0.12113723253701636,1.0342581858572775
2016,240.00541666666666,12,3.6540384615384616,52,1.2673605433996427,1.0213144495002717
2017,245.121,12,3.9898076923076924,52,2.1314449500271726,1
2018,251.0995,12,4.544615384615384,52,2.438999514525486,0.9761907132431566
2019,255.65258333333333,12,3.935769230769231,52,1.8132586219141489,0.958805097151701
2020,258.85575,12,3.111698113207547,53,1.2529373358571627,0.9469405257561403
2021,270.97341666666665,12,2.957692307692308,52,4.681242996018686,0.9045942698561145
2022,292.62641666666667,12,5.344038461538461,52,7.990820747791694,0.8376584820748412
2023,304.70300000000003,12,6.80673076923077,52,4.126962791295052,0.8044587680462614
