state_fips,year,construction_gdp_chained_2017_million_usd,total_gdp_chained_2017_million_usd,personal_income_nominal_million_usd
22,2022,12253.1,240043,254415.5
22,2023,12517.2,248949.4,270677.4
23,2015,2170.9,60563,57356.5
23,2016,2173.4,62037.1,59286.8
23,2017,2208.6,63000.6,61740.1
23,2018,2256.1,64806.3,64463.2
23,2019,2284.5,66758.4,67852.8
23,2020,2291.7,67639.2,74137
23,2021,2402.8,71353.5,81887.1
23,2022,2242.1,72884.4,85704.2
23,2023,2297.6,75514,91602.3
24,2015,20262.6,378745.9,332956.2
24,2016,22535.7,391950.9,344195.1
24,2017,24317.1,399714.5,356079
24,2018,24008.9,402480.9,367831.3
24,2019,23976,402506.2,380447.2
24,2020,23421.7,389178.6,400750
24,2021,23262.7,407160.1,427803.2
24,2022,21459.3,412670.7,438306.4
24,2023,20864.7,420558,469239.6
25,2015,18845.6,514398.7,422547.6
25,2016,19845.7,521662.8,438598.5
25,2017,20871,530129.4,459778.7
25,2018,21578.9,549262.1,483954.4
25,2019,22127.1,566326.8,507884.7
25,2020,20983.7,560395.8,542032.6
25,2021,21832,597420,588651
25,2022,20032.8,607470.6,600009.6
25,2023,19434.3,614786.1,635619.8
26,2015,17600,490618.7,429284.9
26,2016,18142.1,500159.5,441557.2
26,2017,18720,505101.5,454894.8
26,2018,19043.8,516843,474208
26,2019,18405.4,521085.1,489569.6
26,2020,17733.6,502622.3,532019.9
26,2021,18651.8,528701.8,573255.7
26,2022,17837.4,539807.5,583072.1
26,2023,18235.6,554556.2,617163.2
27,2015,14856.8,345456.2,282988
27,2016,15526.4,350603.6,288866.6
27,2017,16350.9,354721.9,301749
27,2018,16449.8,364799.7,317564.8
27,2019,17004.2,369617.4,329291.6
27,2020,16555,357831.5,350470
27,2021,17518.6,377975.8,387015.8
27,2022,15914.8,385921.8,397877.4
27,2023,16097.9,389864.5,418091
28,2015,4124.8,109401.7,104772.2
28,2016,3887.4,109911,106355.5
28,2017,3643.8,110281.4,109132.8
