state_fips,year,series_id,heavy_civil_employment_thousands,bls_months
24,2015,SMU24000002023700001,17.358333333333334,12
24,2016,SMU24000002023700001,18.708333333333332,12
24,2017,SMU24000002023700001,18.983333333333334,12
24,2018,SMU24000002023700001,16.95,12
24,2019,SMU24000002023700001,17.8,12
24,2020,SMU24000002023700001,17.541666666666668,12
24,2021,SMU24000002023700001,17.333333333333332,12
24,2022,SMU24000002023700001,17.608333333333334,12
24,2023,SMU24000002023700001,17.166666666666668,12
25,2015,SMU25000002023700001,14.016666666666666,12
25,2016,SMU25000002023700001,14.733333333333334,12
25,2017,SMU25000002023700001,14.275,12
25,2018,SMU25000002023700001,14.008333333333333,12
25,2019,SMU25000002023700001,13.916666666666666,12
25,2020,SMU25000002023700001,13.783333333333333,12
25,2021,SMU25000002023700001,14.008333333333333,12
25,2022,SMU25000002023700001,14.35,12
25,2023,SMU25000002023700001,14.816666666666666,12
26,2015,SMU26000002023700001,15.758333333333333,12
26,2016,SMU26000002023700001,16.575,12
26,2017,SMU26000002023700001,17,12
26,2018,SMU26000002023700001,18.208333333333332,12
26,2019,SMU26000002023700001,18.858333333333334,12
26,2020,SMU26000002023700001,18.975,12
26,2021,SMU26000002023700001,19.541666666666664,12
26,2022,SMU26000002023700001,20.533333333333335,12
26,2023,SMU26000002023700001,21.525,12
27,2015,SMU27000002023700001,16.633333333333333,12
27,2016,SMU27000002023700001,16.191666666666666,12
27,2017,SMU27000002023700001,15.983333333333333,12
27,2018,SMU27000002023700001,15.975,12
27,2019,SMU27000002023700001,16.558333333333334,12
27,2020,SMU27000002023700001,16.941666666666666,12
27,2021,SMU27000002023700001,19.358333333333334,12
27,2022,SMU27000002023700001,17.691666666666666,12
27,2023,SMU27000002023700001,18.175,12
30,2015,SMU30000002023700001,5.45,12
30,2016,SMU30000002023700001,5.291666666666667,12
30,2017,SMU30000002023700001,5.258333333333333,12
30,2018,SMU30000002023700001,5.55,12
30,2019,SMU30000002023700001,5.8,12
30,2020,SMU30000002023700001,5.525,12
30,2021,SMU30000002023700001,5.541666666666667,12
30,2022,SMU30000002023700001,6.575,12
30,2023,SMU30000002023700001,6.216666666666667,12
31,2015,SMU31000002023700001,6.941666666666666,12
31,2016,SMU31000002023700001,7.066666666666666,12
31,2017,SMU31000002023700001,6.816666666666666,12
31,2018,SMU31000002023700001,6.825,12
31,2019,SMU31000002023700001,6.758333333333334,12
31,2020,SMU31000002023700001,7.458333333333333,12
31,2021,SMU31000002023700001,7.566666666666666,12
31,2022,SMU31000002023700001,7.491666666666666,12
31,2023,SMU31000002023700001,7.8,12
34,2015,SMU34000002023700001,20.441666666666666,12
34,2016,SMU34000002023700001,19.466666666666665,12
34,2017,SMU34000002023700001,20.1,12
34,2018,SMU34000002023700001,20.133333333333333,12
34,2019,SMU34000002023700001,20.05,12
34,2020,SMU34000002023700001,19.45,12
34,2021,SMU34000002023700001,19.066666666666666,12
34,2022,SMU34000002023700001,19.291666666666668,12
34,2023,SMU34000002023700001,19.616666666666667,12
36,2015,SMU36000002023700001,29.025000000000002,12
36,2016,SMU36000002023700001,30.21666666666667,12
36,2017,SMU36000002023700001,30.6,12
36,2018,SMU36000002023700001,32.6,12
36,2019,SMU36000002023700001,32.86666666666667,12
36,2020,SMU36000002023700001,30.85,12
36,2021,SMU36000002023700001,31.6,12
36,2022,SMU36000002023700001,32.891666666666666,12
36,2023,SMU36000002023700001,33.56666666666667,12
37,2015,SMU37000002023700001,28.55,12
37,2016,SMU37000002023700001,30.858333333333334,12
37,2017,SMU37000002023700001,32.925,12
37,2018,SMU37000002023700001,34.9,12
37,2019,SMU37000002023700001,36.31666666666667,12
37,2020,SMU37000002023700001,34.93333333333334,12
37,2021,SMU37000002023700001,34.8,12
37,2022,SMU37000002023700001,36.858333333333334,12
37,2023,SMU37000002023700001,39.583333333333336,12
38,2015,SMU38000002023700001,9.058333333333334,12
38,2016,SMU38000002023700001,8.041666666666666,12
38,2017,SMU38000002023700001,6.025,12
38,2018,SMU38000002023700001,6.208333333333333,12
38,2019,SMU38000002023700001,7.283333333333333,12
