fhwa_state_token,year,highway_capital_outlays_nominal_thousand_usd,highway_construction_preservation_nominal_thousand_usd,state_fips,fhwa_reported_year,fhwa_footnote,fhwa_year_matches,fhwa_provenance
Connecticut,2015,837283,738400,09,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Connecticut,2016,1039596,923045,09,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Connecticut,2017,938453,784468,09,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Connecticut,2018,905748,754186,09,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Connecticut,2019,928035,772385,09,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Connecticut,2020,943260,793010,09,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Connecticut,2021,973724,815189,09,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Connecticut,2022,1023676,854618,09,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Connecticut,2023,1239753,1071044,09,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2015,308591,237943,10,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2016,449479,377008,10,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2017,508042,406830,10,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2018,557243,441119,10,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2019,591785,468307,10,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2020,497435,377909,10,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2021,459924,306367,10,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2022,499530,305007,10,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Delaware,2023,543667,425871,10,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2015,5548290,3994201,12,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2016,6099136,4562823,12,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2017,5677789,4093947,12,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2018,6681407,5062567,12,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2019,6509736,4772194,12,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2020,6568232,4987666,12,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2021,6312207,4663542,12,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2022,6504653,4777112,12,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Florida,2023,7549824,5520768,12,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Georgia,2015,1168206,937066,13,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Georgia,2016,1303783,1076059,13,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Georgia,2017,1629104,1312297,13,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Georgia,2018,1602348,1251710,13,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Georgia,2019,1564658,1145852,13,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
