state_fips,year,housing_units_authorized,housing_units_reported,permits_include_census_imputation,permits_universe_change
21,2021,14841,12384,TRUE,FALSE
21,2022,15078,12834,TRUE,FALSE
21,2023,15415,13049,TRUE,TRUE
22,2015,13830,12115,TRUE,FALSE
22,2016,14503,12971,TRUE,FALSE
22,2017,15224,12799,TRUE,FALSE
22,2018,15835,12881,TRUE,FALSE
22,2019,15793,14664,TRUE,FALSE
22,2020,17283,14246,TRUE,FALSE
22,2021,19147,15132,TRUE,FALSE
22,2022,15544,13245,TRUE,FALSE
22,2023,14247,11040,TRUE,TRUE
23,2015,3699,2904,TRUE,FALSE
23,2016,4010,3340,TRUE,FALSE
23,2017,4358,3529,TRUE,FALSE
23,2018,4697,3820,TRUE,FALSE
23,2019,4760,3849,TRUE,FALSE
23,2020,5304,3522,TRUE,FALSE
23,2021,6530,4816,TRUE,FALSE
23,2022,7094,5443,TRUE,FALSE
23,2023,6183,4048,TRUE,TRUE
24,2015,17057,17016,TRUE,FALSE
24,2016,17044,16947,TRUE,FALSE
24,2017,16224,15938,TRUE,FALSE
24,2018,18647,18591,TRUE,FALSE
24,2019,18491,18356,TRUE,FALSE
24,2020,17982,17609,TRUE,FALSE
24,2021,18496,18216,TRUE,FALSE
24,2022,22860,22827,TRUE,FALSE
24,2023,18453,18355,TRUE,TRUE
25,2015,17424,14908,TRUE,FALSE
25,2016,16288,13885,TRUE,FALSE
25,2017,17728,15441,TRUE,FALSE
25,2018,17044,14035,TRUE,FALSE
25,2019,17365,14220,TRUE,FALSE
25,2020,17025,11350,TRUE,FALSE
25,2021,19853,14558,TRUE,FALSE
25,2022,16830,13972,TRUE,FALSE
25,2023,13214,11556,TRUE,TRUE
26,2015,18226,16374,TRUE,FALSE
26,2016,20408,18017,TRUE,FALSE
26,2017,23623,21184,TRUE,FALSE
26,2018,19580,17913,TRUE,FALSE
26,2019,20600,18361,TRUE,FALSE
26,2020,19735,16524,TRUE,FALSE
26,2021,21732,18533,TRUE,FALSE
26,2022,21780,19402,TRUE,FALSE
26,2023,20592,17897,TRUE,TRUE
27,2015,19545,18654,TRUE,FALSE
27,2016,21449,20264,TRUE,FALSE
27,2017,21953,20879,TRUE,FALSE
27,2018,25673,24637,TRUE,FALSE
27,2019,28586,27917,TRUE,FALSE
27,2020,28148,27049,TRUE,FALSE
27,2021,33652,32039,TRUE,FALSE
27,2022,31126,30015,TRUE,FALSE
27,2023,25667,24585,TRUE,TRUE
28,2015,6845,5074,TRUE,FALSE
28,2016,6886,4871,TRUE,FALSE
28,2017,7481,5647,TRUE,FALSE
28,2018,6883,5112,TRUE,FALSE
28,2019,6952,5569,TRUE,FALSE
28,2020,7810,5654,TRUE,FALSE
28,2021,7988,6086,TRUE,FALSE
28,2022,7568,6290,TRUE,FALSE
28,2023,7700,6393,TRUE,TRUE
29,2015,18344,16515,TRUE,FALSE
29,2016,18997,17877,TRUE,FALSE
29,2017,18811,17371,TRUE,FALSE
29,2018,16875,15671,TRUE,FALSE
29,2019,17460,15852,TRUE,FALSE
29,2020,19839,18647,TRUE,FALSE
29,2021,21372,20616,TRUE,FALSE
29,2022,20901,19985,TRUE,FALSE
29,2023,16781,15716,TRUE,TRUE
30,2015,4826,4569,TRUE,FALSE
30,2016,4781,4616,TRUE,FALSE
30,2017,4932,3984,TRUE,FALSE
30,2018,5099,4093,TRUE,FALSE
30,2019,4776,3843,TRUE,FALSE
30,2020,5980,5018,TRUE,FALSE
30,2021,7272,5886,TRUE,FALSE
30,2022,6460,4936,TRUE,FALSE
30,2023,4307,3017,TRUE,TRUE
31,2015,8096,7035,TRUE,FALSE
31,2016,8078,5838,TRUE,FALSE
31,2017,8863,6407,TRUE,FALSE
31,2018,7866,7639,TRUE,FALSE
31,2019,8025,6102,TRUE,FALSE
31,2020,9483,7470,TRUE,FALSE
31,2021,10723,10480,TRUE,FALSE
31,2022,11115,10737,TRUE,FALSE
31,2023,8877,8728,TRUE,TRUE
32,2015,14083,14079,TRUE,FALSE
32,2016,17952,17924,TRUE,FALSE
32,2017,19544,19536,TRUE,FALSE
32,2018,17645,17636,TRUE,FALSE
32,2019,20143,20143,TRUE,FALSE
32,2020,19716,15676,TRUE,FALSE
32,2021,23406,18463,TRUE,FALSE
32,2022,20031,15503,TRUE,FALSE
32,2023,18451,14347,TRUE,TRUE
33,2015,3763,3487,TRUE,FALSE
33,2016,3796,3382,TRUE,FALSE
33,2017,3625,3210,TRUE,FALSE
33,2018,4445,3683,TRUE,FALSE
33,2019,4743,4274,TRUE,FALSE
33,2020,4320,3658,TRUE,FALSE
33,2021,4892,4397,TRUE,FALSE
33,2022,4783,4145,TRUE,FALSE
33,2023,4555,3784,TRUE,TRUE
34,2015,30560,18812,TRUE,FALSE
34,2016,26793,21581,TRUE,FALSE
34,2017,28501,24196,TRUE,FALSE
34,2018,27942,23358,TRUE,FALSE
34,2019,36505,36237,TRUE,FALSE
34,2020,36146,31155,TRUE,FALSE
34,2021,37094,36337,TRUE,FALSE
34,2022,36906,36168,TRUE,FALSE
34,2023,32840,24846,TRUE,TRUE
35,2015,4599,3496,TRUE,FALSE
35,2016,4863,3195,TRUE,FALSE
35,2017,4741,2801,TRUE,FALSE
35,2018,4813,3708,TRUE,FALSE
35,2019,5020,3757,TRUE,FALSE
35,2020,5219,3718,TRUE,FALSE
35,2021,7753,5540,TRUE,FALSE
35,2022,8633,8187,TRUE,FALSE
35,2023,8511,8287,TRUE,TRUE
36,2015,74611,72014,TRUE,FALSE
36,2016,33711,31169,TRUE,FALSE
36,2017,39350,36199,TRUE,FALSE
36,2018,37778,34173,TRUE,FALSE
36,2019,45219,41266,TRUE,FALSE
36,2020,37330,32765,TRUE,FALSE
36,2021,40135,35480,TRUE,FALSE
36,2022,53360,50005,TRUE,FALSE
36,2023,48807,45075,TRUE,TRUE
37,2015,54757,52077,TRUE,FALSE
37,2016,60550,56268,TRUE,FALSE
37,2017,67047,62661,TRUE,FALSE
37,2018,71691,64037,TRUE,FALSE
37,2019,71307,66932,TRUE,FALSE
37,2020,80474,72378,TRUE,FALSE
37,2021,94874,89141,TRUE,FALSE
37,2022,94118,89977,TRUE,FALSE
37,2023,98853,91673,TRUE,TRUE
38,2015,6256,5690,TRUE,FALSE
38,2016,3981,3665,TRUE,FALSE
38,2017,3411,3278,TRUE,FALSE
38,2018,3211,3053,TRUE,FALSE
38,2019,2495,2350,TRUE,FALSE
38,2020,3493,3389,TRUE,FALSE
38,2021,3600,3445,TRUE,FALSE
38,2022,3440,3330,TRUE,FALSE
38,2023,2618,2513,TRUE,TRUE
39,2015,20047,18598,TRUE,FALSE
39,2016,22816,21205,TRUE,FALSE
39,2017,23917,22590,TRUE,FALSE
39,2018,24221,22654,TRUE,FALSE
39,2019,23047,21693,TRUE,FALSE
39,2020,29686,27532,TRUE,FALSE
39,2021,30418,28349,TRUE,FALSE
39,2022,30843,28951,TRUE,FALSE
39,2023,27318,25168,TRUE,TRUE
40,2015,11545,10965,TRUE,FALSE
40,2016,12092,10956,TRUE,FALSE
40,2017,11092,10503,TRUE,FALSE
40,2018,10502,9427,TRUE,FALSE
40,2019,12152,11858,TRUE,FALSE
40,2020,13733,12964,TRUE,FALSE
40,2021,14733,13825,TRUE,FALSE
40,2022,13876,13304,TRUE,FALSE
40,2023,13405,12513,TRUE,TRUE
41,2015,17510,17079,TRUE,FALSE
41,2016,19586,18750,TRUE,FALSE
41,2017,20053,19183,TRUE,FALSE
41,2018,20132,18875,TRUE,FALSE
41,2019,22037,21479,TRUE,FALSE
41,2020,18665,17335,TRUE,FALSE
41,2021,21916,21305,TRUE,FALSE
41,2022,20321,20085,TRUE,FALSE
41,2023,17697,17026,TRUE,TRUE
42,2015,22854,22293,TRUE,FALSE
42,2016,23303,21491,TRUE,FALSE
42,2017,22584,18631,TRUE,FALSE
42,2018,23325,21369,TRUE,FALSE
42,2019,23539,20785,TRUE,FALSE
42,2020,25706,19916,TRUE,FALSE
42,2021,47894,43056,TRUE,FALSE
42,2022,28149,27258,TRUE,FALSE
42,2023,25320,24423,TRUE,TRUE
44,2015,998,944,TRUE,FALSE
44,2016,1226,1162,TRUE,FALSE
44,2017,1153,1092,TRUE,FALSE
44,2018,1294,1132,TRUE,FALSE
44,2019,1400,1372,TRUE,FALSE
44,2020,1374,1316,TRUE,FALSE
44,2021,1392,1195,TRUE,FALSE
44,2022,1372,1196,TRUE,FALSE
44,2023,1169,909,TRUE,TRUE
45,2015,31030,25313,TRUE,FALSE
45,2016,32165,25692,TRUE,FALSE
45,2017,35521,28732,TRUE,FALSE
45,2018,35487,27039,TRUE,FALSE
45,2019,36034,31641,TRUE,FALSE
45,2020,42340,32247,TRUE,FALSE
45,2021,50680,42640,TRUE,FALSE
45,2022,46038,39512,TRUE,FALSE
45,2023,42474,33254,TRUE,TRUE
46,2015,4482,4166,TRUE,FALSE
46,2016,5686,5344,TRUE,FALSE
46,2017,5407,5059,TRUE,FALSE
46,2018,4963,4537,TRUE,FALSE
46,2019,4415,4090,TRUE,FALSE
46,2020,6660,6327,TRUE,FALSE
46,2021,7917,7539,TRUE,FALSE
46,2022,9421,9046,TRUE,FALSE
46,2023,7072,6377,TRUE,TRUE
47,2015,32219,30359,TRUE,FALSE
47,2016,36157,33937,TRUE,FALSE
47,2017,37912,35587,TRUE,FALSE
47,2018,37169,33471,TRUE,FALSE
47,2019,41361,38360,TRUE,FALSE
47,2020,49719,44986,TRUE,FALSE
47,2021,57484,52771,TRUE,FALSE
47,2022,52637,48375,TRUE,FALSE
47,2023,47463,43165,TRUE,TRUE
48,2015,175443,161987,TRUE,FALSE
48,2016,165853,151858,TRUE,FALSE
48,2017,175112,168341,TRUE,FALSE
48,2018,192878,178098,TRUE,FALSE
48,2019,209895,205664,TRUE,FALSE
48,2020,230503,218532,TRUE,FALSE
48,2021,265955,251415,TRUE,FALSE
48,2022,263007,255038,TRUE,FALSE
48,2023,232373,216220,TRUE,TRUE
49,2015,18297,16896,TRUE,FALSE
49,2016,22662,20987,TRUE,FALSE
49,2017,24679,22384,TRUE,FALSE
49,2018,25574,23200,TRUE,FALSE
49,2019,28779,27597,TRUE,FALSE
49,2020,31775,29035,TRUE,FALSE
49,2021,39058,33562,TRUE,FALSE
49,2022,31749,27097,TRUE,FALSE
49,2023,25361,21143,TRUE,TRUE
50,2015,1998,1538,TRUE,FALSE
50,2016,1771,1389,TRUE,FALSE
50,2017,1749,1366,TRUE,FALSE
50,2018,2080,1659,TRUE,FALSE
50,2019,1801,1364,TRUE,FALSE
50,2020,2077,1459,TRUE,FALSE
50,2021,2319,1594,TRUE,FALSE
50,2022,2403,1797,TRUE,FALSE
50,2023,2456,1910,TRUE,TRUE
51,2015,28469,27536,TRUE,FALSE
51,2016,31132,29697,TRUE,FALSE
51,2017,33760,31858,TRUE,FALSE
51,2018,31977,30411,TRUE,FALSE
51,2019,32418,31091,TRUE,FALSE
51,2020,33813,29613,TRUE,FALSE
51,2021,39388,35958,TRUE,FALSE
51,2022,39701,37173,TRUE,FALSE
51,2023,36096,34555,TRUE,TRUE
53,2015,40374,39679,TRUE,FALSE
53,2016,44077,43528,TRUE,FALSE
53,2017,45794,44848,TRUE,FALSE
53,2018,47746,45941,TRUE,FALSE
53,2019,48424,47062,TRUE,FALSE
53,2020,43881,41360,TRUE,FALSE
53,2021,56941,53649,TRUE,FALSE
53,2022,49030,46573,TRUE,FALSE
53,2023,37097,34348,TRUE,TRUE
54,2015,2814,2421,TRUE,FALSE
54,2016,2544,2146,TRUE,FALSE
54,2017,2719,2294,TRUE,FALSE
54,2018,2887,2505,TRUE,FALSE
54,2019,3010,2742,TRUE,FALSE
54,2020,3204,2916,TRUE,FALSE
54,2021,3692,3512,TRUE,FALSE
54,2022,3406,2837,TRUE,FALSE
54,2023,4014,3721,TRUE,TRUE
55,2015,16793,15482,TRUE,FALSE
55,2016,19274,17700,TRUE,FALSE
55,2017,19545,17741,TRUE,FALSE
55,2018,19113,17820,TRUE,FALSE
55,2019,17480,17315,TRUE,FALSE
55,2020,21226,20300,TRUE,FALSE
55,2021,25444,24451,TRUE,FALSE
55,2022,21072,21028,TRUE,FALSE
