state_fips,state,year,private_nonresidential_spending_nominal_millions,state_local_construction_spending_nominal_millions
27,Minnesota,2015,4939,6806
27,Minnesota,2016,4564,7260
27,Minnesota,2017,4555,6726
27,Minnesota,2018,5104,6477
27,Minnesota,2019,5877,8125
27,Minnesota,2020,5170,9009
27,Minnesota,2021,4455,8683
27,Minnesota,2022,5662,9532
27,Minnesota,2023,5716,9124
28,Mississippi,2015,1902,1509
28,Mississippi,2016,856,2211
28,Mississippi,2017,683,2535
28,Mississippi,2018,1134,2234
28,Mississippi,2019,1243,1518
28,Mississippi,2020,991,2183
28,Mississippi,2021,976,1782
28,Mississippi,2022,1122,2341
28,Mississippi,2023,1700,4082
29,Missouri,2015,4083,3399
29,Missouri,2016,4830,3780
29,Missouri,2017,5161,4112
29,Missouri,2018,5791,2973
29,Missouri,2019,6354,3158
29,Missouri,2020,5163,3570
29,Missouri,2021,5532,4166
29,Missouri,2022,6755,5211
29,Missouri,2023,7650,6486
30,Montana,2015,1272,873
30,Montana,2016,841,930
30,Montana,2017,869,1104
30,Montana,2018,765,1565
30,Montana,2019,812,1257
30,Montana,2020,850,1499
30,Montana,2021,1026,1697
30,Montana,2022,1388,1302
30,Montana,2023,1290,1866
31,Nebraska,2015,1612,2556
31,Nebraska,2016,2068,2645
31,Nebraska,2017,2254,1878
31,Nebraska,2018,2863,1793
31,Nebraska,2019,2614,1626
31,Nebraska,2020,2536,2193
31,Nebraska,2021,2485,3011
31,Nebraska,2022,3399,3138
31,Nebraska,2023,4786,3305
32,Nevada,2015,5830,2216
32,Nevada,2016,6482,2649
32,Nevada,2017,4867,2340
32,Nevada,2018,4247,2949
32,Nevada,2019,4517,4491
32,Nevada,2020,5145,3683
32,Nevada,2021,5952,3080
32,Nevada,2022,7073,2892
32,Nevada,2023,8278,4165
33,New Hampshire,2015,564,751
33,New Hampshire,2016,627,871
33,New Hampshire,2017,893,885
33,New Hampshire,2018,713,887
33,New Hampshire,2019,726,624
33,New Hampshire,2020,630,544
33,New Hampshire,2021,886,777
33,New Hampshire,2022,1012,990
33,New Hampshire,2023,1322,1214
34,New Jersey,2015,4340,6704
34,New Jersey,2016,4833,6940
34,New Jersey,2017,6475,5135
34,New Jersey,2018,6982,5490
34,New Jersey,2019,6975,5918
34,New Jersey,2020,6202,6627
34,New Jersey,2021,6526,5883
34,New Jersey,2022,8086,6625
34,New Jersey,2023,8214,8119
35,New Mexico,2015,1401,1584
35,New Mexico,2016,1128,1387
35,New Mexico,2017,1791,1282
35,New Mexico,2018,1897,1682
35,New Mexico,2019,1570,1662
35,New Mexico,2020,1653,1912
35,New Mexico,2021,1573,1463
35,New Mexico,2022,3045,1952
35,New Mexico,2023,3617,2412
36,New York,2015,24596,21448
36,New York,2016,30901,20434
36,New York,2017,27879,20392
36,New York,2018,31481,21217
36,New York,2019,32538,24578
36,New York,2020,32002,25594
36,New York,2021,31258,23308
36,New York,2022,30554,24605
36,New York,2023,31807,28212
37,North Carolina,2015,5218,5717
37,North Carolina,2016,7751,6823
37,North Carolina,2017,9617,6610
37,North Carolina,2018,10159,7677
37,North Carolina,2019,10193,9745
37,North Carolina,2020,8389,8432
37,North Carolina,2021,7892,7673
37,North Carolina,2022,13081,8983
37,North Carolina,2023,19078,10661
38,North Dakota,2015,2028,3185
38,North Dakota,2016,2880,2914
38,North Dakota,2017,1668,2515
38,North Dakota,2018,1220,1421
38,North Dakota,2019,1461,1652
38,North Dakota,2020,1282,1609
38,North Dakota,2021,1310,2308
38,North Dakota,2022,1682,2180
38,North Dakota,2023,2851,2293
39,Ohio,2015,7446,8804
39,Ohio,2016,8550,9430
39,Ohio,2017,8698,8515
39,Ohio,2018,9686,9044
39,Ohio,2019,10145,9926
39,Ohio,2020,11647,9988
39,Ohio,2021,12532,10094
39,Ohio,2022,14308,9742
39,Ohio,2023,31505,13269
40,Oklahoma,2015,4676,5622
40,Oklahoma,2016,4035,5376
40,Oklahoma,2017,3872,4226
40,Oklahoma,2018,3848,3701
40,Oklahoma,2019,4297,4339
40,Oklahoma,2020,3308,3767
40,Oklahoma,2021,3879,3728
40,Oklahoma,2022,4529,4685
40,Oklahoma,2023,4657,5460
41,Oregon,2015,3375,2429
41,Oregon,2016,3498,2793
41,Oregon,2017,3858,3882
41,Oregon,2018,4387,4591
41,Oregon,2019,5244,4860
41,Oregon,2020,6319,5260
41,Oregon,2021,4951,5440
41,Oregon,2022,5133,6395
41,Oregon,2023,4304,7195
42,Pennsylvania,2015,7640,9280
42,Pennsylvania,2016,7138,8406
42,Pennsylvania,2017,8245,7470
42,Pennsylvania,2018,12638,8141
42,Pennsylvania,2019,13214,9698
42,Pennsylvania,2020,11843,9268
42,Pennsylvania,2021,11875,8752
42,Pennsylvania,2022,11819,9860
42,Pennsylvania,2023,12123,12134
44,Rhode Island,2015,500,573
44,Rhode Island,2016,530,648
44,Rhode Island,2017,874,553
44,Rhode Island,2018,1187,721
44,Rhode Island,2019,1517,813
44,Rhode Island,2020,1202,855
44,Rhode Island,2021,637,807
44,Rhode Island,2022,707,898
44,Rhode Island,2023,963,974
45,South Carolina,2015,3420,2853
45,South Carolina,2016,5141,4559
45,South Carolina,2017,5639,4989
45,South Carolina,2018,6464,5231
45,South Carolina,2019,5765,4788
45,South Carolina,2020,3780,4636
45,South Carolina,2021,4300,3834
45,South Carolina,2022,3693,4291
45,South Carolina,2023,5327,5213
46,South Dakota,2015,646,1259
46,South Dakota,2016,959,1495
46,South Dakota,2017,1602,1223
46,South Dakota,2018,2304,920
46,South Dakota,2019,1441,1525
46,South Dakota,2020,887,1950
46,South Dakota,2021,1076,2463
46,South Dakota,2022,1929,1745
46,South Dakota,2023,1857,3004
47,Tennessee,2015,5271,3326
47,Tennessee,2016,5037,3367
47,Tennessee,2017,6090,3565
47,Tennessee,2018,6912,3673
47,Tennessee,2019,7837,5453
47,Tennessee,2020,8814,5504
47,Tennessee,2021,9497,4349
47,Tennessee,2022,13728,4589
47,Tennessee,2023,14940,6383
48,Texas,2015,46334,26951
48,Texas,2016,52075,28084
48,Texas,2017,45980,31623
48,Texas,2018,41387,33705
48,Texas,2019,48643,36518
48,Texas,2020,52773,41049
48,Texas,2021,52561,40341
48,Texas,2022,65142,44295
48,Texas,2023,91296,51079
49,Utah,2015,1847,3647
49,Utah,2016,2027,2977
49,Utah,2017,2482,3371
49,Utah,2018,2081,3789
49,Utah,2019,2407,4490
49,Utah,2020,2855,5373
49,Utah,2021,3270,5103
49,Utah,2022,3563,5351
49,Utah,2023,4758,9235
50,Vermont,2015,440,279
50,Vermont,2016,542,253
50,Vermont,2017,605,519
50,Vermont,2018,447,615
50,Vermont,2019,382,192
50,Vermont,2020,286,339
50,Vermont,2021,316,819
50,Vermont,2022,434,667
50,Vermont,2023,452,597
51,Virginia,2015,4023,6321
51,Virginia,2016,5386,5959
51,Virginia,2017,6838,6118
51,Virginia,2018,7256,7339
51,Virginia,2019,8251,7812
51,Virginia,2020,9550,7877
51,Virginia,2021,9147,8968
51,Virginia,2022,12468,9026
51,Virginia,2023,15522,10751
53,Washington,2015,6824,7828
53,Washington,2016,7069,9688
53,Washington,2017,7744,11013
53,Washington,2018,8229,10728
53,Washington,2019,7297,13050
53,Washington,2020,6620,12730
53,Washington,2021,8626,12648
53,Washington,2022,9896,12451
53,Washington,2023,11494,12491
54,West Virginia,2015,494,1448
54,West Virginia,2016,321,1340
54,West Virginia,2017,286,1504
54,West Virginia,2018,498,1134
54,West Virginia,2019,602,1899
54,West Virginia,2020,477,2082
54,West Virginia,2021,595,1721
54,West Virginia,2022,949,1565
54,West Virginia,2023,1148,2416
55,Wisconsin,2015,3852,4809
55,Wisconsin,2016,3739,5620
55,Wisconsin,2017,4174,5762
55,Wisconsin,2018,5476,5143
55,Wisconsin,2019,6536,6062
55,Wisconsin,2020,7562,6275
55,Wisconsin,2021,5903,6259
55,Wisconsin,2022,6000,6737
55,Wisconsin,2023,6879,8799
56,Wyoming,2015,946,1590
56,Wyoming,2016,585,1472
56,Wyoming,2017,474,971
56,Wyoming,2018,351,876
56,Wyoming,2019,479,774
56,Wyoming,2020,676,691
56,Wyoming,2021,792,871
56,Wyoming,2022,769,1325
56,Wyoming,2023,783,1383
