time,state_fips,region_code,division_code,state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,year
202099,04,4,8,Arizona,42277,42277,11316498,520,1040,130229,91,311,44797,522,16714,2306834,40937,40937,10974318,492,984,123183,90,307,44547,470,14864,1998513,2020
202199,04,4,8,Arizona,46561,46561,12666074,666,1332,160904,96,336,64318,727,17105,2431395,45197,45197,12327048,630,1260,152106,95,332,64105,652,14583,2013140,2021
202299,04,4,8,Arizona,37288,37288,10532726,937,1874,234113,86,308,103719,701,22061,3651104,36201,36201,10268503,902,1804,225840,86,308,103719,625,19522,3229891,2022
202399,04,4,8,Arizona,34429,34429,9959478,1037,2074,266339,88,334,61286,710,21596,3277076,32272,32272,9401011,997,1994,255453,88,334,61286,640,19380,2909818,2023
201599,05,3,7,Arkansas,5709,5709,1162374,167,334,29420,36,131,7632,136,2326,180680,5223,5223,1095769,162,324,28785,33,122,7295,117,2132,168291,2015
201699,05,3,7,Arkansas,6816,6816,1362332,269,538,53086,61,214,11452,138,1906,136012,5955,5955,1230841,232,464,48431,54,190,10416,110,1651,121678,2016
201799,05,3,7,Arkansas,7376,7376,1500229,231,462,49161,105,386,20947,145,2571,196151,6540,6540,1371527,207,414,45823,89,331,18312,113,2298,181225,2017
201899,05,3,7,Arkansas,7354,7354,1557355,213,426,38870,96,349,28557,109,2050,204659,6088,6088,1331650,179,358,34027,68,251,23803,69,1590,175098,2018
201999,05,3,7,Arkansas,7869,7869,1716632,280,560,71276,112,415,31447,158,3879,352252,6871,6871,1535939,268,536,69550,107,396,30504,115,3381,320399,2019
202099,05,3,7,Arkansas,8802,8802,1967409,366,732,87187,154,528,42061,178,2431,257089,7334,7334,1724841,329,658,82066,112,374,34184,138,2026,229646,2020
202199,05,3,7,Arkansas,10563,10563,2510146,308,616,70596,160,567,65517,126,2452,211357,9028,9028,2245391,266,532,64869,109,391,56269,82,2009,178545,2021
202299,05,3,7,Arkansas,9473,9473,2546336,300,600,80138,163,582,60009,178,3709,324175,8181,8181,2325170,250,500,71295,111,404,50845,123,3161,283803,2022
202399,05,3,7,Arkansas,9360,9360,2383914,515,1030,163451,103,356,29688,145,2096,259538,8117,8117,2165803,458,916,153304,47,167,19954,97,1621,225161,2023
201599,06,4,9,California,45644,45644,14060553,721,1442,272728,401,1366,237005,1601,49736,8066888,43051,43051,13372343,692,1384,257814,375,1281,223949,1459,48208,7898785,2015
201699,06,4,9,California,50311,50311,15201727,799,1598,293218,461,1591,299666,1544,48850,8250579,47610,47610,14484140,775,1550,279836,430,1485,285157,1401,46714,7963542,2016
201799,06,4,9,California,57132,57132,17227303,1084,2168,415680,628,2138,385404,1874,53342,9753820,53138,53138,16039078,1001,2002,386020,577,1968,363948,1714,51441,9475674,2017
201899,06,4,9,California,58831,58831,17843585,1295,2590,480909,588,2050,389207,1763,50031,9130926,54713,54713,16563958,1185,2370,436007,534,1875,367343,1569,47938,8795219,2018
201999,06,4,9,California,58575,58575,17376935,1238,2476,498041,492,1694,305526,1600,47452,8402846,56085,56085,16660377,1210,2420,480472,470,1623,291986,1512,46005,8150225,2019
202099,06,4,9,California,59043,59043,16507110,1070,2140,403077,482,1677,327938,1384,43215,8184995,51537,51537,14252828,993,1986,359230,430,1506,295715,1207,39928,7675593,2020
202199,06,4,9,California,65890,65890,18779857,1204,2408,531442,469,1631,353962,1763,49507,9059617,62562,62562,17747883,1147,2294,486570,452,1578,342837,1638,47264,8714424,2021
202299,06,4,9,California,63628,63628,18519075,1301,2602,524570,509,1778,371251,1879,52772,9606382,61268,61268,17775739,1254,2508,497562,489,1718,356652,1713,50915,9298197,2022
202399,06,4,9,California,58534,58534,17917089,1229,2458,513578,423,1444,396185,2029,49324,9036498,53862,53862,16559060,1168,2336,481169,402,1379,378208,1853,47606,8742211,2023
