year,cpi_index,months
2014,236.715,12
2015,237.00175000000002,12
2016,240.00541666666666,12
2017,245.121,12
2018,251.0995,12
2019,255.65258333333333,12
2020,258.85575,12
2021,270.97341666666665,12
2022,292.62641666666667,12
2023,304.70300000000003,12
