year,state_fips,state,capital_right_of_way,capital_engineering,capital_construction_preservation,capital_outlay_total,physical_maintenance,traffic_control_operations,snow_ice_removal,other_services,toll_collection_expenses,highway_traffic_services_total,general_administration,research_planning,administration_research_total,traffic_supervision,highway_safety_driver_education,vehicle_inspection,size_weight_enforcement,law_enforcement_safety_total
2020,50,Vermont,7914,16582,191806,216302,97390,1143,20811,0,0,21954,69512,15359,84871,64392,8680,0,0,73072
2021,50,Vermont,3736,15518,206748,226002,90051,1232,16154,0,0,17386,67426,16666,84092,66432,9114,0,0,75546
2022,50,Vermont,1639,18370,208782,228791,102214,1714,18039,0,0,19753,77089,21317,98406,66883,11706,0,0,78589
2023,50,Vermont,1589,17919,258972,278480,118465,1441,21908,0,0,23349,78907,20368,99275,73142,12023,0,0,85165
2015,51,Virginia,148172,282953,1402387,1833512,1161506,35176,252209,0,13962,301347,298834,64737,363571,83491,95857,15290,20748,215386
2016,51,Virginia,183253,226708,1605020,2014981,1408147,34985,293209,0,10827,339021,334959,67258,402217,85382,102084,14063,19860,221389
2017,51,Virginia,129288,277927,1480545,1887760,1500489,34065,146982,0,10322,191369,382258,55775,438033,89765,102098,14479,7884,214226
2018,51,Virginia,115878,206925,2230230,2553033,1473141,30315,205741,0,9674,245730,423025,70699,493724,95618,113538,15986,27453,252595
2019,51,Virginia,100648,188348,1241013,1530009,1530674,27524,199759,0,11535,238818,402414,76039,478453,95068,116633,16614,33448,261763
2020,51,Virginia,111754,195258,1485616,1792628,1412936,26478,70684,0,9148,106310,453471,98990,552461,97178,109933,18651,33110,258872
2021,51,Virginia,104619,205367,1939337,2249323,1362099,29546,232844,0,11889,274279,390206,92168,482374,101171,116254,16800,29132,263357
2022,51,Virginia,121585,203579,1744720,2069884,1653407,30449,226712,0,9610,266771,402095,88437,490532,117315,128828,17397,30769,294309
2023,51,Virginia,80620,219411,2171713,2471744,1576085,37130,108099,0,30400,175629,464853,100700,565553,120985,137310,18036,20095,296426
