year,state_fips,state,capital_right_of_way,capital_engineering,capital_construction_preservation,capital_outlay_total,physical_maintenance,traffic_control_operations,snow_ice_removal,other_services,toll_collection_expenses,highway_traffic_services_total,general_administration,research_planning,administration_research_total,traffic_supervision,highway_safety_driver_education,vehicle_inspection,size_weight_enforcement,law_enforcement_safety_total
2018,55,Wisconsin,30061,112428,830613,973102,89977,59534,89578,35924,0,185036,144397,36468,180865,51691,9925,8308,2397,72321
2019,55,Wisconsin,20972,97546,1266099,1384617,168483,88630,63924,28596,0,181150,142126,38088,180214,52076,8108,7944,3012,71140
2020,55,Wisconsin,25109,101095,1419488,1545692,179713,57971,49438,6241,0,113650,130796,37251,168047,54782,10326,6654,3767,75529
2021,55,Wisconsin,38332,107766,1033733,1179831,180812,59157,35802,8423,0,103382,124995,40713,165708,69850,10279,7865,2979,90973
2022,55,Wisconsin,28998,104661,1133093,1266752,194823,59397,29361,9476,0,98234,134233,44047,178280,68495,14273,7528,3436,93732
2023,55,Wisconsin,16202,114233,1388141,1518576,212237,59332,32542,10580,0,102454,143520,70978,214498,71195,13649,8195,3890,96929
2015,56,Wyoming,5816,43001,358548,407365,56735,14482,21852,784,0,37118,78949,8131,87080,22465,17449,2334,187,42435
2016,56,Wyoming,5947,43598,263772,313317,65775,14149,26756,1763,0,42668,43189,7614,50803,22327,17342,2320,186,42175
2017,56,Wyoming,3520,48517,268571,320608,51272,16292,30208,2079,0,48579,36621,7334,43955,22103,17168,2296,184,41751
2018,56,Wyoming,5394,50588,290601,346583,53393,13013,27847,1886,0,42746,22314,7875,30189,20830,16816,2164,173,39983
2019,56,Wyoming,2271,49249,322714,374234,57971,14977,31698,1747,0,48422,34477,7675,42152,22022,17105,2288,183,41598
2020,56,Wyoming,5662,57209,367188,430059,53913,17418,39924,1768,0,59110,15468,9526,24994,23137,17971,2404,192,43704
2021,56,Wyoming,4405,55964,324545,384914,55934,15979,24694,855,0,41528,27415,10797,38212,22433,17424,2331,186,42374
2022,56,Wyoming,8094,55433,379789,443316,65805,15150,22080,978,0,38208,16305,9666,25971,22305,18572,2317,185,43379
2023,56,Wyoming,1537,54257,499509,555303,68750,15906,40066,437,0,56409,30659,10682,41341,27819,22148,2890,231,53088
