year,state_fips,state,construction_employment_thousands,months_reported,series_id
2019,23,Maine,3.475,12,SMU23000002023700001
2020,23,Maine,3.8166666666666664,12,SMU23000002023700001
2021,23,Maine,3.933333333333333,12,SMU23000002023700001
2022,23,Maine,3.8833333333333333,12,SMU23000002023700001
2023,23,Maine,4.208333333333333,12,SMU23000002023700001
2015,24,Maryland,17.358333333333334,12,SMU24000002023700001
2016,24,Maryland,18.708333333333332,12,SMU24000002023700001
2017,24,Maryland,18.983333333333334,12,SMU24000002023700001
2018,24,Maryland,16.95,12,SMU24000002023700001
2019,24,Maryland,17.8,12,SMU24000002023700001
2020,24,Maryland,17.541666666666668,12,SMU24000002023700001
2021,24,Maryland,17.333333333333332,12,SMU24000002023700001
2022,24,Maryland,17.608333333333334,12,SMU24000002023700001
2023,24,Maryland,17.166666666666668,12,SMU24000002023700001
2015,25,Massachusetts,14.016666666666666,12,SMU25000002023700001
2016,25,Massachusetts,14.733333333333334,12,SMU25000002023700001
2017,25,Massachusetts,14.275,12,SMU25000002023700001
2018,25,Massachusetts,14.008333333333333,12,SMU25000002023700001
2019,25,Massachusetts,13.916666666666666,12,SMU25000002023700001
2020,25,Massachusetts,13.783333333333333,12,SMU25000002023700001
2021,25,Massachusetts,14.008333333333333,12,SMU25000002023700001
2022,25,Massachusetts,14.35,12,SMU25000002023700001
2023,25,Massachusetts,14.816666666666666,12,SMU25000002023700001
2015,26,Michigan,15.758333333333333,12,SMU26000002023700001
2016,26,Michigan,16.575,12,SMU26000002023700001
2017,26,Michigan,17,12,SMU26000002023700001
2018,26,Michigan,18.208333333333332,12,SMU26000002023700001
2019,26,Michigan,18.858333333333334,12,SMU26000002023700001
2020,26,Michigan,18.975,12,SMU26000002023700001
2021,26,Michigan,19.541666666666664,12,SMU26000002023700001
2022,26,Michigan,20.533333333333335,12,SMU26000002023700001
2023,26,Michigan,21.525,12,SMU26000002023700001
2015,27,Minnesota,16.633333333333333,12,SMU27000002023700001
2016,27,Minnesota,16.191666666666666,12,SMU27000002023700001
2017,27,Minnesota,15.983333333333333,12,SMU27000002023700001
2018,27,Minnesota,15.975,12,SMU27000002023700001
2019,27,Minnesota,16.558333333333334,12,SMU27000002023700001
2020,27,Minnesota,16.941666666666666,12,SMU27000002023700001
2021,27,Minnesota,19.358333333333334,12,SMU27000002023700001
2022,27,Minnesota,17.691666666666666,12,SMU27000002023700001
2023,27,Minnesota,18.175,12,SMU27000002023700001
2015,30,Montana,5.45,12,SMU30000002023700001
2016,30,Montana,5.291666666666667,12,SMU30000002023700001
2017,30,Montana,5.258333333333333,12,SMU30000002023700001
2018,30,Montana,5.55,12,SMU30000002023700001
2019,30,Montana,5.8,12,SMU30000002023700001
2020,30,Montana,5.525,12,SMU30000002023700001
2021,30,Montana,5.541666666666667,12,SMU30000002023700001
2022,30,Montana,6.575,12,SMU30000002023700001
2023,30,Montana,6.216666666666667,12,SMU30000002023700001
2015,31,Nebraska,6.941666666666666,12,SMU31000002023700001
2016,31,Nebraska,7.066666666666666,12,SMU31000002023700001
2017,31,Nebraska,6.816666666666666,12,SMU31000002023700001
2018,31,Nebraska,6.825,12,SMU31000002023700001
2019,31,Nebraska,6.758333333333334,12,SMU31000002023700001
2020,31,Nebraska,7.458333333333333,12,SMU31000002023700001
2021,31,Nebraska,7.566666666666666,12,SMU31000002023700001
2022,31,Nebraska,7.491666666666666,12,SMU31000002023700001
2023,31,Nebraska,7.8,12,SMU31000002023700001
2015,34,New Jersey,20.441666666666666,12,SMU34000002023700001
2016,34,New Jersey,19.466666666666665,12,SMU34000002023700001
2017,34,New Jersey,20.1,12,SMU34000002023700001
2018,34,New Jersey,20.133333333333333,12,SMU34000002023700001
2019,34,New Jersey,20.05,12,SMU34000002023700001
2020,34,New Jersey,19.45,12,SMU34000002023700001
2021,34,New Jersey,19.066666666666666,12,SMU34000002023700001
2022,34,New Jersey,19.291666666666668,12,SMU34000002023700001
2023,34,New Jersey,19.616666666666667,12,SMU34000002023700001
2015,36,New York,29.025000000000002,12,SMU36000002023700001
2016,36,New York,30.21666666666667,12,SMU36000002023700001
2017,36,New York,30.6,12,SMU36000002023700001
2018,36,New York,32.6,12,SMU36000002023700001
2019,36,New York,32.86666666666667,12,SMU36000002023700001
2020,36,New York,30.85,12,SMU36000002023700001
2021,36,New York,31.6,12,SMU36000002023700001
2022,36,New York,32.891666666666666,12,SMU36000002023700001
2023,36,New York,33.56666666666667,12,SMU36000002023700001
2015,37,North Carolina,28.55,12,SMU37000002023700001
2016,37,North Carolina,30.858333333333334,12,SMU37000002023700001
2017,37,North Carolina,32.925,12,SMU37000002023700001
2018,37,North Carolina,34.9,12,SMU37000002023700001
2019,37,North Carolina,36.31666666666667,12,SMU37000002023700001
2020,37,North Carolina,34.93333333333334,12,SMU37000002023700001
2021,37,North Carolina,34.8,12,SMU37000002023700001
2022,37,North Carolina,36.858333333333334,12,SMU37000002023700001
2023,37,North Carolina,39.583333333333336,12,SMU37000002023700001
2015,38,North Dakota,9.058333333333334,12,SMU38000002023700001
2016,38,North Dakota,8.041666666666666,12,SMU38000002023700001
2017,38,North Dakota,6.025,12,SMU38000002023700001
2018,38,North Dakota,6.208333333333333,12,SMU38000002023700001
2019,38,North Dakota,7.283333333333333,12,SMU38000002023700001
2020,38,North Dakota,5.833333333333333,12,SMU38000002023700001
2021,38,North Dakota,5.133333333333333,12,SMU38000002023700001
2022,38,North Dakota,5.308333333333334,12,SMU38000002023700001
2023,38,North Dakota,5.725,12,SMU38000002023700001
2015,39,Ohio,27.46666666666667,12,SMU39000002023700001
2016,39,Ohio,27.216666666666665,12,SMU39000002023700001
2017,39,Ohio,33.766666666666666,12,SMU39000002023700001
2018,39,Ohio,31.958333333333332,12,SMU39000002023700001
2019,39,Ohio,31.266666666666666,12,SMU39000002023700001
2020,39,Ohio,29.008333333333333,12,SMU39000002023700001
2021,39,Ohio,28.658333333333335,12,SMU39000002023700001
2022,39,Ohio,29.708333333333332,12,SMU39000002023700001
2023,39,Ohio,30.733333333333334,12,SMU39000002023700001
2015,40,Oklahoma,15.65,12,SMU40000002023700001
2016,40,Oklahoma,15.616666666666667,12,SMU40000002023700001
2017,40,Oklahoma,17.908333333333335,12,SMU40000002023700001
2018,40,Oklahoma,19.25,12,SMU40000002023700001
2019,40,Oklahoma,19.333333333333332,12,SMU40000002023700001
2020,40,Oklahoma,16.766666666666666,12,SMU40000002023700001
2021,40,Oklahoma,16.558333333333334,12,SMU40000002023700001
2022,40,Oklahoma,15.950000000000001,12,SMU40000002023700001
2023,40,Oklahoma,16.55,12,SMU40000002023700001
2015,41,Oregon,9.158333333333333,12,SMU41000002023700001
2016,41,Oregon,9.283333333333333,12,SMU41000002023700001
2017,41,Oregon,9.608333333333333,12,SMU41000002023700001
2018,41,Oregon,10.141666666666667,12,SMU41000002023700001
2019,41,Oregon,10.541666666666666,12,SMU41000002023700001
2020,41,Oregon,10.233333333333334,12,SMU41000002023700001
2021,41,Oregon,10.175,12,SMU41000002023700001
2022,41,Oregon,10.55,12,SMU41000002023700001
2023,41,Oregon,11.05,12,SMU41000002023700001
2015,42,Pennsylvania,34.95,12,SMU42000002023700001
2016,42,Pennsylvania,34.2,12,SMU42000002023700001
2017,42,Pennsylvania,39.733333333333334,12,SMU42000002023700001
2018,42,Pennsylvania,42.291666666666664,12,SMU42000002023700001
2019,42,Pennsylvania,41.525,12,SMU42000002023700001
2020,42,Pennsylvania,36.88333333333333,12,SMU42000002023700001
2021,42,Pennsylvania,37.483333333333334,12,SMU42000002023700001
2022,42,Pennsylvania,33.525,12,SMU42000002023700001
2023,42,Pennsylvania,33.108333333333334,12,SMU42000002023700001
2015,45,South Carolina,15.625,12,SMU45000002023700001
2016,45,South Carolina,18.358333333333334,12,SMU45000002023700001
2017,45,South Carolina,18.083333333333332,12,SMU45000002023700001
2018,45,South Carolina,16.541666666666668,12,SMU45000002023700001
2019,45,South Carolina,17.066666666666666,12,SMU45000002023700001
2020,45,South Carolina,16.35,12,SMU45000002023700001
2021,45,South Carolina,16.008333333333333,12,SMU45000002023700001
2022,45,South Carolina,16.708333333333332,12,SMU45000002023700001
2023,45,South Carolina,17.408333333333335,12,SMU45000002023700001
2015,46,South Dakota,3.4416666666666664,12,SMU46000002023700001
2016,46,South Dakota,3.941666666666667,12,SMU46000002023700001
2017,46,South Dakota,3.5416666666666665,12,SMU46000002023700001
2018,46,South Dakota,3.533333333333333,12,SMU46000002023700001
2019,46,South Dakota,3.9916666666666667,12,SMU46000002023700001
2020,46,South Dakota,4.525,12,SMU46000002023700001
2021,46,South Dakota,4.291666666666667,12,SMU46000002023700001
2022,46,South Dakota,4.225,12,SMU46000002023700001
2023,46,South Dakota,4.525,12,SMU46000002023700001
2015,47,Tennessee,14.583333333333334,12,SMU47000002023700001
2016,47,Tennessee,15.108333333333334,12,SMU47000002023700001
2017,47,Tennessee,15.941666666666666,12,SMU47000002023700001
2018,47,Tennessee,16.233333333333334,12,SMU47000002023700001
2019,47,Tennessee,16.666666666666668,12,SMU47000002023700001
2020,47,Tennessee,16.758333333333333,12,SMU47000002023700001
2021,47,Tennessee,17.4,12,SMU47000002023700001
2022,47,Tennessee,19.216666666666665,12,SMU47000002023700001
2023,47,Tennessee,20.525,12,SMU47000002023700001
2015,48,Texas,141.175,12,SMU48000002023700001
2016,48,Texas,145.80833333333334,12,SMU48000002023700001
2017,48,Texas,148.65,12,SMU48000002023700001
2018,48,Texas,161.1,12,SMU48000002023700001
2019,48,Texas,178.19166666666666,12,SMU48000002023700001
2020,48,Texas,166.64166666666668,12,SMU48000002023700001
2021,48,Texas,158.74166666666667,12,SMU48000002023700001
2022,48,Texas,167.375,12,SMU48000002023700001
2023,48,Texas,175.725,12,SMU48000002023700001
2015,49,Utah,9.35,12,SMU49000002023700001
2016,49,Utah,9.058333333333334,12,SMU49000002023700001
2017,49,Utah,9.616666666666667,12,SMU49000002023700001
2018,49,Utah,10.333333333333334,12,SMU49000002023700001
2019,49,Utah,10.991666666666667,12,SMU49000002023700001
2020,49,Utah,12.191666666666666,12,SMU49000002023700001
2021,49,Utah,12.483333333333334,12,SMU49000002023700001
2022,49,Utah,12.833333333333334,12,SMU49000002023700001
2023,49,Utah,12.975,12,SMU49000002023700001
2015,51,Virginia,29.541666666666668,12,SMU51000002023700001
2016,51,Virginia,29.458333333333332,12,SMU51000002023700001
2017,51,Virginia,29.958333333333332,12,SMU51000002023700001
2018,51,Virginia,30.725,12,SMU51000002023700001
2019,51,Virginia,29.7,12,SMU51000002023700001
2020,51,Virginia,30.15833333333333,12,SMU51000002023700001
2021,51,Virginia,31.075,12,SMU51000002023700001
2022,51,Virginia,31.8,12,SMU51000002023700001
2023,51,Virginia,33.6,12,SMU51000002023700001
2015,53,Washington,19.316666666666666,12,SMU53000002023700001
2016,53,Washington,19.708333333333332,12,SMU53000002023700001
2017,53,Washington,20.283333333333335,12,SMU53000002023700001
2018,53,Washington,20.916666666666668,12,SMU53000002023700001
2019,53,Washington,21.708333333333332,12,SMU53000002023700001
2020,53,Washington,21.266666666666666,12,SMU53000002023700001
2021,53,Washington,21.716666666666665,12,SMU53000002023700001
2022,53,Washington,21.591666666666665,12,SMU53000002023700001
2023,53,Washington,20.933333333333334,12,SMU53000002023700001
2015,55,Wisconsin,14.416666666666668,12,SMU55000002023700001
2016,55,Wisconsin,13.541666666666666,12,SMU55000002023700001
2017,55,Wisconsin,14.075,12,SMU55000002023700001
2018,55,Wisconsin,14.491666666666667,12,SMU55000002023700001
2019,55,Wisconsin,14.8,12,SMU55000002023700001
2020,55,Wisconsin,15.208333333333334,12,SMU55000002023700001
2021,55,Wisconsin,16.075,12,SMU55000002023700001
2022,55,Wisconsin,17.175,12,SMU55000002023700001
2023,55,Wisconsin,17.533333333333335,12,SMU55000002023700001
2015,56,Wyoming,6.266666666666667,12,SMU56000002023700001
2016,56,Wyoming,5.233333333333333,12,SMU56000002023700001
2017,56,Wyoming,4.583333333333333,12,SMU56000002023700001
2018,56,Wyoming,5.666666666666667,12,SMU56000002023700001
2019,56,Wyoming,7.408333333333333,12,SMU56000002023700001
2020,56,Wyoming,6.116666666666666,12,SMU56000002023700001
2021,56,Wyoming,5.308333333333334,12,SMU56000002023700001
2022,56,Wyoming,4.933333333333334,12,SMU56000002023700001
2023,56,Wyoming,5.675,12,SMU56000002023700001
